epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2,cumulative_avg_mAP_0.5,metrics/F1_score
0,0.21829,0.021723,0,0.00025515,0.013171,0.00013174,3.475e-05,0.17087,0.020582,0,0.07037,0.0032922,0.0032922,0.00013174,0.000500602279879191
1,0.16055,0.022031,0,0.0015036,0.14944,0.0013162,0.00028726,0.13867,0.024977,0,0.040349,0.0066037,0.0066037,0.00072397,0.002977244268720237
2,0.1055,0.023251,0,0.078557,0.25887,0.031267,0.0063315,0.16721,0.2447,0,0.010305,0.0098931,0.0098931,0.010904980000000002,0.12053600091279003
3,0.082913,0.021052,0,0.50299,0.4414,0.37982,0.12693,0.095452,0.025028,0,0.009901,0.009901,0.009901,0.103133735,0.4701866517010981
4,0.072938,0.017247,0,0.53195,0.53563,0.39423,0.18463,0.06319,0.016886,0,0.009901,0.009901,0.009901,0.16135298800000003,0.5337836574308249
5,0.066776,0.016106,0,0.75627,0.50557,0.5684,0.23646,0.076184,0.014945,0,0.009868,0.009868,0.009868,0.22919415666666668,0.6060156975527801
6,0.061925,0.014772,0,0.8102,0.56008,0.65841,0.34074,0.056995,0.012381,0,0.009835,0.009835,0.009835,0.2905107057142858,0.6623125434217824
7,0.058882,0.014189,0,0.80254,0.60876,0.68829,0.35438,0.057029,0.012078,0,0.009802,0.009802,0.009802,0.3402331175,0.6923464187628428
8,0.057629,0.01372,0,0.81694,0.5976,0.67666,0.36332,0.055797,0.012078,0,0.009769,0.009769,0.009769,0.37761388222222225,0.6902644591174516
9,0.056961,0.013406,0,0.80576,0.59237,0.70193,0.40176,0.050382,0.010979,0,0.009736,0.009736,0.009736,0.41004549400000007,0.6827806444322058
10,0.053951,0.013185,0,0.80289,0.63306,0.71615,0.40589,0.047967,0.010908,0,0.009703,0.009703,0.009703,0.4378731763636364,0.7079320915073644
11,0.05144,0.01304,0,0.77966,0.64054,0.72177,0.40378,0.046248,0.010705,0,0.00967,0.00967,0.00967,0.46153124500000003,0.7032860391494157
12,0.051901,0.0129,0,0.78715,0.56451,0.64699,0.32115,0.059981,0.010522,0,0.009637,0.009637,0.009637,0.4757973030769231,0.6574938172321442
13,0.051393,0.012451,0,0.75258,0.5385,0.60301,0.3643,0.054245,0.014966,0,0.009604,0.009604,0.009604,0.4848839242857143,0.6277911980667348
14,0.051108,0.01245,0,0.83109,0.66221,0.75178,0.44441,0.0463,0.010104,0,0.009571,0.009571,0.009571,0.502676996,0.7371005275564186
15,0.048903,0.012326,0,0.80746,0.65577,0.74267,0.44279,0.043971,0.010144,0,0.009538,0.009538,0.009538,0.5176765587500001,0.7237523071560863
16,0.046987,0.012097,0,0.84122,0.67547,0.77877,0.46765,0.041297,0.0099754,0,0.009505,0.009505,0.009505,0.5330349964705883,0.7492880857657135
17,0.047633,0.012342,0,0.84195,0.67016,0.76429,0.47842,0.042579,0.0098999,0,0.009472,0.009472,0.009472,0.5458824966666667,0.7462965154651447
18,0.046894,0.012337,0,0.78797,0.66835,0.74757,0.41931,0.043725,0.0098086,0,0.009439,0.009439,0.009439,0.5564976284210527,0.7232472938639859
19,0.047239,0.012186,0,0.8278,0.67458,0.77255,0.46028,0.040905,0.0092626,0,0.009406,0.009406,0.009406,0.567300247,0.743376940587601
20,0.046022,0.012032,0,0.84179,0.69543,0.7745,0.48766,0.042112,0.010195,0,0.009373,0.009373,0.009373,0.5771669019047619,0.7616424710841649
21,0.046354,0.011726,0,0.84112,0.71161,0.79827,0.48648,0.038695,0.0094594,0,0.00934,0.00934,0.00934,0.5872170427272727,0.7709639192905399
22,0.044599,0.011533,0,0.82954,0.69438,0.78121,0.45692,0.040787,0.0094885,0,0.009307,0.009307,0.009307,0.5956515191304348,0.7559661730274556
23,0.043765,0.011918,0,0.8469,0.71445,0.80668,0.47534,0.038683,0.0090477,0,0.009274,0.009274,0.009274,0.6044443725,0.7750571044288597
24,0.043958,0.01127,0,0.87283,0.6692,0.78125,0.43158,0.045042,0.0095898,0,0.009241,0.009241,0.009241,0.6115165976,0.7575700031776295
25,0.043908,0.011483,0,0.83379,0.69807,0.78605,0.45801,0.041861,0.0095466,0,0.009208,0.009208,0.009208,0.6182294207692307,0.7599177278602484
26,0.043422,0.011338,0,0.85833,0.70694,0.80606,0.48156,0.03918,0.0092613,0,0.009175,0.009175,0.009175,0.6251861088888888,0.7753139205376709
27,0.042188,0.011467,0,0.84465,0.71797,0.80661,0.50039,0.038035,0.0091242,0,0.009142,0.009142,0.009142,0.6316655335714286,0.7761750911929964
28,0.042945,0.011418,0,0.87217,0.73286,0.8295,0.53591,0.034263,0.0087806,0,0.009109,0.009109,0.009109,0.6384874117241379,0.7964692326000137
29,0.041652,0.011326,0,0.85774,0.70534,0.80567,0.47708,0.038097,0.0093173,0,0.009076,0.009076,0.009076,0.6440601646666667,0.7741105146249713
30,0.042394,0.011328,0,0.88226,0.72754,0.83604,0.52337,0.035245,0.0088886,0,0.009043,0.009043,0.009043,0.6502530625806452,0.7974648284258915
31,0.041323,0.011201,0,0.85855,0.74515,0.83503,0.52412,0.033795,0.0089659,0,0.00901,0.00901,0.00901,0.656027341875,0.7978406591008294
32,0.041108,0.01103,0,0.858,0.74603,0.83694,0.54843,0.03305,0.0086704,0,0.008977,0.008977,0.008977,0.6615095436363636,0.7981069431369738
33,0.040414,0.010857,0,0.86452,0.74232,0.84018,0.53695,0.03332,0.0088041,0,0.008944,0.008944,0.008944,0.6667645570588235,0.7987733519205397
34,0.040653,0.010923,0,0.85638,0.7441,0.83557,0.52957,0.034468,0.0087909,0,0.008911,0.008911,0.008911,0.6715875697142857,0.7963015570328901
35,0.040343,0.011044,0,0.88009,0.71766,0.82345,0.53231,0.035988,0.0089707,0,0.008878,0.008878,0.008878,0.6758059705555556,0.7906185440776091
36,0.04115,0.011353,0,0.87939,0.73725,0.8349,0.53769,0.035186,0.0087792,0,0.008845,0.008845,0.008845,0.6801058091891893,0.8020713052998812
37,0.041171,0.011129,0,0.8723,0.71547,0.82349,0.53587,0.033921,0.0090255,0,0.008812,0.008812,0.008812,0.6838790773684211,0.7861396562474415
38,0.040125,0.010968,0,0.86042,0.74536,0.83936,0.52246,0.033247,0.0087908,0,0.008779,0.008779,0.008779,0.6878657676923077,0.7987677654473215
