epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2,cumulative_avg_mAP_0.5,metrics/F1_score
0,0.13233,0.019015,0,0.55121,0.60898,0.52019,0.18334,0.065082,0.014818,0,0.070049,0.0033279,0.0033279,0.52019,0.5786567127798032
1,0.067658,0.014216,0,0.70803,0.61824,0.66777,0.22441,0.070424,0.009372,0,0.040027,0.0066393,0.0066393,0.59398,0.6600955570132778
2,0.058064,0.012336,0,0.76538,0.70133,0.74888,0.32022,0.055279,0.011008,0,0.0099826,0.0099286,0.0099286,0.6456133333333334,0.7319564950126474
3,0.051863,0.011587,0,0.84357,0.78378,0.85353,0.40704,0.047735,0.0081104,0,0.009901,0.009901,0.009901,0.6975925000000001,0.8125766363720159
4,0.048785,0.011215,0,0.85743,0.81518,0.86856,0.43247,0.044395,0.0076163,0,0.009901,0.009901,0.009901,0.7317859999999999,0.835771384124213
5,0.046936,0.010899,0,0.87322,0.84997,0.90178,0.46274,0.04163,0.0073583,0,0.009868,0.009868,0.009868,0.7601183333333333,0.8614381506392215
6,0.045975,0.01081,0,0.89042,0.86391,0.92004,0.49449,0.039894,0.0070186,0,0.009835,0.009835,0.009835,0.7829642857142858,0.8769647012819709
7,0.044833,0.010796,0,0.88381,0.85922,0.91388,0.47291,0.041178,0.0070619,0,0.009802,0.009802,0.009802,0.79932875,0.8713415468465832
8,0.044253,0.010646,0,0.89081,0.87431,0.92381,0.50469,0.038415,0.0069174,0,0.009769,0.009769,0.009769,0.81316,0.8824828805973531
9,0.043666,0.010482,0,0.86576,0.85624,0.90296,0.48096,0.039719,0.0070468,0,0.009736,0.009736,0.009736,0.8221399999999999,0.8609736845528456
10,0.043095,0.010408,0,0.90646,0.87837,0.9317,0.52891,0.036221,0.0066956,0,0.009703,0.009703,0.009703,0.8321000000000001,0.8921939570715419
11,0.042487,0.010478,0,0.8984,0.88521,0.92895,0.51633,0.037528,0.0067322,0,0.00967,0.00967,0.00967,0.8401708333333334,0.8917562292205136
12,0.04214,0.010314,0,0.88378,0.87218,0.91678,0.51312,0.037747,0.0067901,0,0.009637,0.009637,0.009637,0.8460638461538461,0.8779416847764185
13,0.041957,0.010229,0,0.90017,0.89264,0.93495,0.54293,0.035325,0.0065193,0,0.009604,0.009604,0.009604,0.8524128571428572,0.8963891865841891
14,0.04141,0.010196,0,0.89954,0.89428,0.9346,0.5431,0.035158,0.0065368,0,0.009571,0.009571,0.009571,0.857892,0.8969022880779566
15,0.041018,0.010182,0,0.9059,0.90163,0.94208,0.55401,0.034467,0.0064744,0,0.009538,0.009538,0.009538,0.86315375,0.9037599564045964
16,0.040933,0.010131,0,0.90277,0.89622,0.93702,0.54851,0.034903,0.006455,0,0.009505,0.009505,0.009505,0.8674988235294118,0.899483075948171
17,0.040537,0.010059,0,0.90704,0.89479,0.93883,0.5511,0.034933,0.0064198,0,0.009472,0.009472,0.009472,0.8714616666666667,0.9008733583079425
18,0.040278,0.010025,0,0.8942,0.88534,0.92629,0.52926,0.036741,0.0064957,0,0.009439,0.009439,0.009439,0.8743473684210527,0.889747943850658
19,0.040008,0.0099337,0,0.8987,0.88782,0.93002,0.53966,0.035952,0.0064819,0,0.009406,0.009406,0.009406,0.877131,0.8932268701162036
20,0.03989,0.0099441,0,0.90942,0.89264,0.93694,0.55287,0.034826,0.0063736,0,0.009373,0.009373,0.009373,0.8799790476190475,0.9009518759641744
21,0.039429,0.010023,0,0.90281,0.89779,0.9364,0.55125,0.034952,0.0063704,0,0.00934,0.00934,0.00934,0.8825436363636363,0.9002930022214818
22,0.039398,0.0099733,0,0.90161,0.8884,0.93108,0.53941,0.036,0.0064157,0,0.009307,0.009307,0.009307,0.8846539130434783,0.894956256110301
23,0.039174,0.009869,0,0.89887,0.88071,0.92588,0.53295,0.036706,0.0064452,0,0.009274,0.009274,0.009274,0.8863716666666667,0.8896973417323188
24,0.039,0.0098491,0,0.89735,0.88384,0.92617,0.53373,0.036665,0.0064496,0,0.009241,0.009241,0.009241,0.8879636000000001,0.890543764561894
25,0.038752,0.0099311,0,0.89927,0.88117,0.92711,0.53593,0.036449,0.0064364,0,0.009208,0.009208,0.009208,0.8894692307692308,0.8901279974613017
26,0.038788,0.0098181,0,0.89899,0.88249,0.92827,0.53818,0.03626,0.006428,0,0.009175,0.009175,0.009175,0.8909062962962963,0.8906635888137953
27,0.038687,0.0097785,0,0.90052,0.88342,0.92805,0.53992,0.036124,0.006426,0,0.009142,0.009142,0.009142,0.8922328571428572,0.8918880437682881
28,0.038817,0.0097487,0,0.90153,0.8858,0.92931,0.54182,0.035943,0.0064129,0,0.009109,0.009109,0.009109,0.8935113793103449,0.8935957814169739
29,0.038769,0.0098777,0,0.90082,0.8887,0.92977,0.54347,0.035822,0.0064008,0,0.009076,0.009076,0.009076,0.89472,0.894718957038759
30,0.038391,0.0098149,0,0.90063,0.89055,0.93114,0.54586,0.035588,0.0063915,0,0.009043,0.009043,0.009043,0.8958948387096773,0.8955616370214048
