epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2,cumulative_avg_mAP_0.5,metrics/F1_score
0,0.12459,0.031714,0,0.00043011,0.043956,0.00023265,4.81E-05,0.10658,0.024099,0,0.0928,0.0008,0.0008,0.00023265,0.000851884
1,0.12149,0.0312,0,0.00042593,0.042125,0.00022498,5.84E-05,0.10564,0.023697,0,0.084694,0.0016944,0.0016944,0.000228815,0.000843333
2,0.11659,0.031692,0,0.00050279,0.049451,0.00027207,6.87E-05,0.10484,0.023558,0,0.076583,0.0025828,0.0025828,0.000243233,0.000995459
3,0.11124,0.032389,0,0.00051565,0.051282,0.00027701,7.44E-05,0.1042,0.023878,0,0.068465,0.0034654,0.0034654,0.000251678,0.001021033
4,0.10888,0.032774,0,0.00048851,0.062271,0.00026379,6.76E-05,0.1037,0.02313,0,0.060342,0.0043419,0.0043419,0.0002541,0.000969415
5,0.10508,0.032829,0,0.00053161,0.067766,0.00028423,6.54E-05,0.10332,0.022873,0,0.052213,0.0052126,0.0052126,0.000259122,0.001054944
6,0.10037,0.03239,0,0.00045977,0.058608,0.00024358,5.54E-05,0.10292,0.023201,0,0.044077,0.0060772,0.0060772,0.000256901,0.000912383
7,0.09606,0.029559,0,0.00047414,0.06044,0.00025921,5.66E-05,0.1023,0.022097,0,0.035936,0.006936,0.006936,0.00025719,0.000940899
8,0.088896,0.028774,0,0.00045977,0.058608,0.00027298,5.66E-05,0.10194,0.022585,0,0.027789,0.0077888,0.0077888,0.000258944,0.000912383
9,0.082237,0.028103,0,0.001408,0.17949,0.0048211,0.0010171,0.099752,0.017519,0,0.019636,0.0086357,0.0086357,0.00071516,0.002794082
10,0.076505,0.026955,0,0.16864,0.11538,0.061236,0.014975,0.08907,0.018547,0,0.011477,0.0094766,0.0094766,0.006217055,0.137016289
11,0.070235,0.026059,0,0.11496,0.25458,0.058741,0.017467,0.082718,0.021713,0,0.009637,0.009637,0.009637,0.01059405,0.158394311
12,0.066759,0.025168,0,0.28018,0.22741,0.14805,0.042197,0.084987,0.020696,0,0.009637,0.009637,0.009637,0.021167585,0.251051966
13,0.063765,0.023167,0,0.20135,0.41941,0.15745,0.054182,0.073325,0.039267,0,0.009604,0.009604,0.009604,0.030902043,0.272080042
