epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2,cumulative_avg_mAP_0.5,metrics/F1_score
0,0.18818,0.022713,0,0.00033046,0.042125,0.00017551,3.2966e-05,0.15612,0.019887,0,0.0802,0.0022,0.0022,0.00017551,0.0006557756057760298
1,0.1662,0.020122,0,0.0003592,0.045788,0.00018994,3.6599e-05,0.153,0.017784,0,0.059485,0.0044852,0.0044852,0.000182725,0.00071280812703696
2,0.14918,0.020214,0,0.00025862,0.032967,0.00013398,2.8783e-05,0.15698,0.014866,0,0.038755,0.0067551,0.0067551,0.00016647666666666665,0.0005132139318995401
3,0.11901,0.025655,0,0.00047414,0.06044,0.000274,4.8895e-05,0.14977,0.014722,0,0.01801,0.0090099,0.0090099,0.0001933575,0.000940898832356494
4,0.09999,0.029019,0,0.21309,0.058608,0.047076,0.013019,0.091467,0.027694,0,0.009868,0.009868,0.009868,0.009569886,0.09193132610471921
5,0.08843,0.029393,0,0.12792,0.19963,0.050217,0.012531,0.10617,0.036021,0,0.009868,0.009868,0.009868,0.016344405,0.15592532193558237
6,0.08192,0.027673,0,0.32713,0.30769,0.16986,0.055015,0.084274,0.033301,0,0.009835,0.009835,0.009835,0.038275204285714286,0.31711234586181913
7,0.077058,0.02515,0,0.041463,0.50549,0.032502,0.013095,0.08015,0.044405,0,0.009802,0.009802,0.009802,0.037553553749999996,0.076639608412423
8,0.072094,0.02364,0,0.2301,0.45238,0.17348,0.06659,0.067109,0.023983,0,0.009769,0.009769,0.009769,0.05265649222222222,0.3050423103973743
9,0.069149,0.02363,0,0.6513,0.60207,0.62641,0.25477,0.05995,0.019642,0,0.009736,0.009736,0.009736,0.11003184299999999,0.6257181694152566
10,0.06685,0.02181,0,0.77768,0.62637,0.71058,0.29407,0.05893,0.018328,0,0.009703,0.009703,0.009703,0.16462712999999998,0.6938719014280118
11,0.063255,0.021005,0,0.67152,0.65385,0.65024,0.21175,0.063186,0.016923,0,0.00967,0.00967,0.00967,0.20509486916666667,0.662567210665701
12,0.063292,0.019945,0,0.7422,0.67949,0.68697,0.2776,0.058823,0.016977,0,0.009637,0.009637,0.009637,0.24216218692307695,0.709461947400629
13,0.058591,0.019361,0,0.8078,0.73897,0.81184,0.37655,0.054848,0.016364,0,0.009604,0.009604,0.009604,0.28285345928571426,0.7718535606457327
14,0.058735,0.019386,0,0.79134,0.76923,0.80888,0.38102,0.052483,0.01595,0,0.009571,0.009571,0.009571,0.3179218953333333,0.7801283738633961
15,0.058193,0.018855,0,0.8245,0.75458,0.81115,0.39643,0.049753,0.015337,0,0.009538,0.009538,0.009538,0.34874865187500004,0.787992008004661
16,0.057092,0.018545,0,0.89972,0.75641,0.85766,0.43081,0.047411,0.014819,0,0.009505,0.009505,0.009505,0.37868461352941174,0.8218644734410945
17,0.055009,0.017507,0,0.91295,0.77656,0.87045,0.41345,0.047137,0.014351,0,0.009472,0.009472,0.009472,0.4060049127777778,0.8392497848488615
18,0.055251,0.017215,0,0.88686,0.79853,0.87153,0.43786,0.046841,0.01418,0,0.009439,0.009439,0.009439,0.4305062331578947,0.8403803461513358
19,0.053597,0.0172,0,0.88719,0.74542,0.85781,0.43128,0.045874,0.014819,0,0.009406,0.009406,0.009406,0.45187142150000004,0.8101496007007184
20,0.052712,0.017836,0,0.88134,0.76007,0.87328,0.41055,0.04865,0.01392,0,0.009373,0.009373,0.009373,0.47193849666666665,0.8162251890752463
21,0.052252,0.016655,0,0.84056,0.81105,0.88224,0.46585,0.047782,0.01347,0,0.00934,0.00934,0.00934,0.490588565,0.825541366303183
22,0.050653,0.017019,0,0.8872,0.82051,0.89292,0.46462,0.045066,0.01366,0,0.009307,0.009307,0.009307,0.5080812360869565,0.852552801119628
