epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2,cumulative_avg_mAP_0.5,metrics/F1_score
0,0.19826,0.022638,0,0.00048093,0.053114,0.00025513,7.2521e-05,0.16563,0.022452,0,0.0811,0.0021,0.0021,0.00025513,0.0009532288229502306
1,0.18285,0.022317,0,0.00055,0.06044,0.00029312,6.9738e-05,0.15853,0.021935,0,0.061286,0.0042858,0.0042858,0.000274125,0.0010900803410395148
2,0.17348,0.022051,0,0.0004023,0.051282,0.00021231,4.2655e-05,0.15587,0.021106,0,0.041457,0.0064571,0.0064571,0.00025351999999999997,0.000798337158479461
3,0.15789,0.022821,0,0.00048851,0.062271,0.00027702,5.4877e-05,0.14429,0.022395,0,0.021614,0.0086139,0.0086139,0.000259395,0.0009694150323990739
4,0.13806,0.025393,0,0.00061782,0.078755,0.00033543,6.9319e-05,0.22712,0.023338,0,0.009868,0.009868,0.009868,0.000274602,0.001226022058936548
5,0.11224,0.028321,0,0.0085896,0.031136,0.0021399,0.00051991,0.19575,0.16163,0,0.009868,0.009868,0.009868,0.0005854850000000001,0.01346465682582516
6,0.092934,0.029225,0,0.013635,0.045788,0.0021513,0.00048215,0.22103,0.18202,0,0.009835,0.009835,0.009835,0.0008091728571428572,0.021012718307725966
7,0.081789,0.027205,0,0.053293,0.14652,0.026508,0.0056462,0.1495,0.046144,0,0.009802,0.009802,0.009802,0.00402152625,0.07815798131252721
8,0.073472,0.025404,0,0.54871,0.48718,0.49939,0.15665,0.082775,0.024361,0,0.009769,0.009769,0.009769,0.05906246777777778,0.5161176144185194
9,0.071762,0.023746,0,0.46335,0.38645,0.35162,0.10296,0.078924,0.021852,0,0.009736,0.009736,0.009736,0.088318221,0.4214205871969875
10,0.066709,0.022663,0,0.63335,0.52381,0.58824,0.20992,0.063449,0.020957,0,0.009703,0.009703,0.009703,0.13376565545454547,0.5733953187113278
11,0.064236,0.020589,0,0.66737,0.56588,0.62263,0.24188,0.066684,0.018655,0,0.00967,0.00967,0.00967,0.17450435083333335,0.612448952929252
12,0.060465,0.019785,0,0.69422,0.61538,0.71346,0.28351,0.06055,0.018124,0,0.009637,0.009637,0.009637,0.2159624776923077,0.6524268533903481
13,0.058683,0.019429,0,0.7462,0.65018,0.71686,0.26055,0.056547,0.019238,0,0.009604,0.009604,0.009604,0.2517408721428572,0.6948886635443074
14,0.058036,0.019705,0,0.7857,0.63736,0.74429,0.32426,0.054037,0.018142,0,0.009571,0.009571,0.009571,0.2845774806666667,0.70379850744171
15,0.055354,0.019279,0,0.80427,0.72999,0.81551,0.36707,0.052924,0.01626,0,0.009538,0.009538,0.009538,0.317760763125,0.7653318958976966
16,0.054797,0.018264,0,0.85104,0.68017,0.79864,0.3497,0.056572,0.014866,0,0.009505,0.009505,0.009505,0.3460477770588235,0.7560711813533088
17,0.052128,0.018345,0,0.86779,0.76557,0.85058,0.40966,0.048628,0.014873,0,0.009472,0.009472,0.009472,0.374077345,0.8134814006710095
18,0.051946,0.017283,0,0.85575,0.75275,0.85363,0.42831,0.047741,0.015074,0,0.009439,0.009439,0.009439,0.39931695842105264,0.8009522070251788
19,0.053403,0.017451,0,0.85492,0.76923,0.85621,0.44652,0.047985,0.014832,0,0.009406,0.009406,0.009406,0.4221616105,0.8098145018625127
20,0.051541,0.018452,0,0.85208,0.75092,0.85267,0.43653,0.044373,0.015085,0,0.009373,0.009373,0.009373,0.44266201,0.7983080643792889
21,0.050192,0.016179,0,0.87763,0.73626,0.82897,0.36235,0.05608,0.013681,0,0.00934,0.00934,0.00934,0.4602214640909091,0.8007532902490256
22,0.051212,0.017184,0,0.88596,0.75275,0.84362,0.34956,0.054621,0.013755,0,0.009307,0.009307,0.009307,0.4768909656521739,0.8139407094604901
23,0.048518,0.017441,0,0.90243,0.77656,0.88072,0.47857,0.043796,0.013783,0,0.009274,0.009274,0.009274,0.49371717541666665,0.8347769084985617
24,0.048476,0.017146,0,0.87888,0.81068,0.89033,0.4917,0.04257,0.013859,0,0.009241,0.009241,0.009241,0.5095816884,0.8434035351215701
25,0.047364,0.017034,0,0.89253,0.78755,0.88209,0.50434,0.040431,0.013351,0,0.009208,0.009208,0.009208,0.5239089311538462,0.8367601560639969
26,0.046701,0.016475,0,0.91093,0.80543,0.89297,0.50121,0.041541,0.013238,0,0.009175,0.009175,0.009175,0.5375778596296296,0.8549376003868653
27,0.046784,0.016483,0,0.86426,0.81626,0.89604,0.48547,0.041996,0.013489,0,0.009142,0.009142,0.009142,0.5503800789285714,0.8395744978935092
28,0.046113,0.016488,0,0.86512,0.79883,0.87907,0.4729,0.044529,0.01315,0,0.009109,0.009109,0.009109,0.5617142141379311,0.8306545384176207
29,0.045379,0.016089,0,0.94839,0.81502,0.91235,0.53128,0.039147,0.012759,0,0.009076,0.009076,0.009076,0.5734020736666667,0.8766614885931235
30,0.046602,0.016459,0,0.92701,0.81418,0.9038,0.5273,0.038063,0.013634,0,0.009043,0.009043,0.009043,0.5840600712903227,0.8669392792285736
31,0.043312,0.015593,0,0.91522,0.8106,0.90614,0.51433,0.040673,0.012712,0,0.00901,0.00901,0.00901,0.5941250690625,0.8597389438064225
32,0.04449,0.015929,0,0.9118,0.79519,0.89118,0.48303,0.044067,0.012687,0,0.008977,0.008977,0.008977,0.6031267336363637,0.8495119971411667
33,0.043464,0.016057,0,0.87715,0.83516,0.91106,0.52237,0.037447,0.013115,0,0.008944,0.008944,0.008944,0.6121835944117647,0.8556401516080616
34,0.043958,0.015182,0,0.91007,0.83404,0.92057,0.53491,0.037875,0.012764,0,0.008911,0.008911,0.008911,0.6209946345714286,0.8703978336228793
35,0.043605,0.015137,0,0.90626,0.84249,0.91709,0.52572,0.038619,0.012726,0,0.008878,0.008878,0.008878,0.6292195058333333,0.8732122800857756
