epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2,cumulative_avg_mAP_0.5,metrics/F1_score
0,0.19768,0.025451,0,0.00022688,0.02381,0.0001202,3.2564e-05,0.17084,0.022362,0,0.0865,0.0015,0.0015,0.0001202,0.0004494770369532152
1,0.18503,0.024289,0,0.00027923,0.029304,0.00014482,4.125e-05,0.16624,0.022045,0,0.07209,0.0030898,0.0030898,0.00013251000000000002,0.0005531888113637355
2,0.17681,0.023556,0,0.0001982,0.020147,0.00010241,3.6867e-05,0.16283,0.021751,0,0.057669,0.004669,0.004669,0.00012247666666666667,0.00039253832845093686
3,0.16806,0.024331,0,0.00046346,0.047619,0.00025039,5.3165e-05,0.16058,0.0215,0,0.043238,0.0062376,0.0062376,0.000154455,0.000917985549824198
4,0.15974,0.024552,0,0.00054674,0.056777,0.00029801,6.3657e-05,0.15508,0.021371,0,0.028796,0.0077957,0.0077957,0.00018316600000000001,0.001083050651614846
5,0.14805,0.025661,0,0.0090105,0.007326,0.0010038,0.00023198,0.14617,0.023231,0,0.014343,0.0093433,0.0093433,0.00031993833333333335,0.008081403360572949
6,0.12745,0.028078,0,0.0080725,0.17582,0.0038159,0.0010745,0.21253,0.31565,0,0.009802,0.009802,0.009802,0.0008193614285714286,0.01543626792827331
7,0.10345,0.030925,0,0.0033128,0.16117,0.0018078,0.00043944,0.24491,0.23927,0,0.009802,0.009802,0.009802,0.0009429162500000001,0.00649215572692099
8,0.086061,0.031681,0,0.055861,0.24359,0.024989,0.0061442,0.17901,0.039064,0,0.009769,0.009769,0.009769,0.003614703333333333,0.09088085189229624
9,0.079437,0.029278,0,0.38205,0.32418,0.19915,0.045545,0.1255,0.035788,0,0.009736,0.009736,0.009736,0.023168233,0.3507440040779916
10,0.073435,0.026431,0,0.28603,0.54212,0.21626,0.075016,0.086635,0.027587,0,0.009703,0.009703,0.009703,0.04072203,0.3744794628992333
11,0.066922,0.023409,0,0.60639,0.63767,0.5652,0.20672,0.074956,0.023275,0,0.00967,0.00967,0.00967,0.0844285275,0.621636755944247
12,0.065176,0.021181,0,0.54653,0.67324,0.58019,0.18749,0.071376,0.020364,0,0.009637,0.009637,0.009637,0.12256402538461539,0.6033036674127089
13,0.061826,0.02066,0,0.48977,0.69619,0.43554,0.17898,0.061815,0.023931,0,0.009604,0.009604,0.009604,0.14491945214285715,0.5750159808087962
14,0.059218,0.01925,0,0.7977,0.75831,0.81904,0.39664,0.056174,0.01758,0,0.009571,0.009571,0.009571,0.18986082199999998,0.7775064260512463
15,0.058427,0.018601,0,0.80975,0.74836,0.82617,0.38508,0.05559,0.015871,0,0.009538,0.009538,0.009538,0.229630145625,0.7778456078197302
16,0.056378,0.017979,0,0.84092,0.77289,0.83398,0.40216,0.054035,0.01559,0,0.009505,0.009505,0.009505,0.2651801370588235,0.8054711010589847
17,0.053477,0.017123,0,0.85381,0.73808,0.81236,0.38386,0.055211,0.014345,0,0.009472,0.009472,0.009472,0.29557901833333333,0.791738229148999
18,0.053372,0.017032,0,0.86529,0.71761,0.81463,0.41797,0.050693,0.015978,0,0.009439,0.009439,0.009439,0.32289749105263155,0.784560941183903
19,0.05178,0.017923,0,0.81531,0.75824,0.83122,0.42231,0.049721,0.014706,0,0.009406,0.009406,0.009406,0.3483136165,0.7857400837596518
20,0.049757,0.016421,0,0.82851,0.76374,0.83027,0.43742,0.048006,0.015077,0,0.009373,0.009373,0.009373,0.37126392047619045,0.7948076337258596
21,0.049437,0.016827,0,0.87739,0.78205,0.88818,0.48296,0.044202,0.013479,0,0.00934,0.00934,0.00934,0.3947601059090909,0.8269812099262402
22,0.049975,0.016562,0,0.86861,0.76557,0.86194,0.44337,0.047385,0.013423,0,0.009307,0.009307,0.009307,0.4150722752173913,0.8138415079122251
23,0.048059,0.01642,0,0.87977,0.78755,0.87709,0.46045,0.047433,0.012859,0,0.009274,0.009274,0.009274,0.43432301375,0.8311096412206415
24,0.047042,0.016586,0,0.8619,0.78388,0.87579,0.48779,0.043937,0.012675,0,0.009241,0.009241,0.009241,0.4519816932,0.8210406883058489
25,0.045683,0.016367,0,0.89728,0.78388,0.87848,0.49576,0.043122,0.012729,0,0.009208,0.009208,0.009208,0.4683854742307692,0.8367553908015894
26,0.047682,0.015455,0,0.89053,0.78963,0.87707,0.47309,0.043366,0.012545,0,0.009175,0.009175,0.009175,0.4835219381481482,0.8370502855680412
27,0.045445,0.016122,0,0.90149,0.83883,0.91052,0.49683,0.042326,0.012217,0,0.009142,0.009142,0.009142,0.4987718689285714,0.8690319673393399
28,0.045227,0.015539,0,0.87395,0.80769,0.87743,0.45721,0.042095,0.012134,0,0.009109,0.009109,0.009109,0.5118290458620689,0.8395146113317952
29,0.04481,0.015356,0,0.91207,0.81691,0.90759,0.53094,0.039492,0.011772,0,0.009076,0.009076,0.009076,0.5250210776666667,0.8618712809864777
