epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2,cumulative_avg_mAP_0.5,metrics/F1_score
0,0.20769,0.023147,0,0.00037559,0.029304,0.00019527,6.038e-05,0.16531,0.020808,0,0.0946,0.0006,0.0006,0.00019527,0.0007416739489999693
1,0.19356,0.022137,0,0.00033333,0.027473,0.00017812,3.495e-05,0.15784,0.01964,0,0.088296,0.0012957,0.0012957,0.00018669500000000001,0.0006586683744312895
2,0.17949,0.020894,0,0.00017241,0.021978,9.1448e-05,1.4259e-05,0.15452,0.018563,0,0.081987,0.0019868,0.0019868,0.000154946,0.0003421360579781593
3,0.16742,0.021017,0,0.00021552,0.027473,0.00012152,2.1283e-05,0.15223,0.017537,0,0.075673,0.0026733,0.0026733,0.0001465895,0.00042768490045694025
4,0.16158,0.019818,0,0.00027299,0.034799,0.00015903,2.4481e-05,0.1521,0.016391,0,0.069355,0.0033551,0.0033551,0.0001490776,0.0005417302531165182
5,0.15256,0.01976,0,0.00022989,0.029304,0.00012973,2.3964e-05,0.15167,0.015032,0,0.063032,0.0040324,0.0040324,0.00014585300000000001,0.00045620110049844436
6,0.13949,0.021054,0,0.00038793,0.049451,0.00023992,3.5397e-05,0.15285,0.013752,0,0.056705,0.004705,0.004705,0.00015929114285714285,0.0007698209584355041
7,0.12862,0.021957,0,0.00033046,0.042125,0.00018222,2.4788e-05,0.15244,0.012837,0,0.050373,0.0053729,0.0053729,0.00016215725,0.0006557756057760298
8,0.117,0.025256,0,0.00021552,0.027473,0.00011426,1.9527e-05,0.15038,0.012444,0,0.044036,0.0060363,0.0060363,0.00015683533333333335,0.00042768490045694025
9,0.10722,0.028384,0,0.00027299,0.034799,0.00015521,2.8314e-05,0.14591,0.012696,0,0.037695,0.0066951,0.0066951,0.00015667279999999998,0.0005417302531165182
10,0.10056,0.029793,0,0.00076149,0.09707,0.00052535,0.00011436,0.13893,0.013584,0,0.031349,0.0073492,0.0073492,0.00019018890909090907,0.0015111255956543237
11,0.09469,0.030106,0,0.0017098,0.21795,0.0047662,0.0014145,0.12752,0.01494,0,0.024999,0.0079987,0.0079987,0.0005715231666666667,0.003392982329948402
12,0.091086,0.029701,0,0.0043534,0.55495,0.01703,0.0036607,0.10385,0.018521,0,0.018644,0.0086436,0.0086436,0.001837559846153846,0.008639029657248642
13,0.085912,0.030114,0,0.0061207,0.78022,0.029457,0.0074525,0.10114,0.017846,0,0.012284,0.0092839,0.0092839,0.0038103769999999998,0.012146115682426205
14,0.082433,0.030381,0,0.0071121,0.90659,0.25014,0.075335,0.080241,0.020729,0,0.009538,0.009538,0.009538,0.020232351866666665,0.0141134812736011
15,0.080456,0.029143,0,0.42079,0.22344,0.2782,0.080947,0.076105,0.019821,0,0.009538,0.009538,0.009538,0.036355329874999995,0.29188742405662577
16,0.078402,0.02773,0,0.34509,0.44104,0.32574,0.094218,0.089924,0.017633,0,0.009505,0.009505,0.009505,0.05337795752941176,0.387209478330556
17,0.074833,0.026158,0,0.32746,0.47436,0.27643,0.090666,0.077234,0.018399,0,0.009472,0.009472,0.009472,0.06576973766666666,0.38745335761143396
18,0.072949,0.026322,0,0.49376,0.54762,0.45989,0.15587,0.069457,0.017847,0,0.009439,0.009439,0.009439,0.08651290936842104,0.5192971848892816
19,0.071115,0.024795,0,0.59987,0.60955,0.58792,0.21819,0.066099,0.016658,0,0.009406,0.009406,0.009406,0.1115832639,0.6046712614310992
20,0.069155,0.024279,0,0.5596,0.505,0.50552,0.1562,0.075255,0.015799,0,0.009373,0.009373,0.009373,0.1303421560952381,0.5308998684952095
21,0.068476,0.023592,0,0.60238,0.65204,0.60727,0.21143,0.066241,0.01615,0,0.00934,0.00934,0.00934,0.15202069445454544,0.6262270295435339
22,0.067683,0.023113,0,0.53547,0.60989,0.51867,0.18297,0.071351,0.016913,0,0.009307,0.009307,0.009307,0.16796196860869567,0.570262272647901
23,0.065522,0.022945,0,0.5329,0.68681,0.49036,0.15948,0.073684,0.017541,0,0.009274,0.009274,0.009274,0.18139521991666666,0.60014437694206
24,0.065193,0.022477,0,0.60087,0.69207,0.60694,0.24383,0.059304,0.019393,0,0.009241,0.009241,0.009241,0.19841701112,0.6432535166365029
25,0.062249,0.02294,0,0.71115,0.67766,0.71532,0.28533,0.059,0.015893,0,0.009208,0.009208,0.009208,0.2182978953076923,0.6940012082286274
26,0.061518,0.021619,0,0.70277,0.7102,0.69371,0.28889,0.059105,0.015092,0,0.009175,0.009175,0.009175,0.23590575103703704,0.7064654649426386
27,0.061031,0.021945,0,0.72281,0.68296,0.69483,0.26738,0.063417,0.015711,0,0.009142,0.009142,0.009142,0.2522959027857143,0.7023201769848553
28,0.061993,0.020943,0,0.66214,0.66764,0.65598,0.23522,0.075343,0.016721,0,0.009109,0.009109,0.009109,0.2662160440689655,0.6648786259381251
29,0.059535,0.020395,0,0.67013,0.74359,0.65268,0.28636,0.063944,0.015802,0,0.009076,0.009076,0.009076,0.2790981759333333,0.7049514284299577
30,0.058384,0.020003,0,0.76036,0.70898,0.73009,0.30194,0.056929,0.015836,0,0.009043,0.009043,0.009043,0.2936462992903226,0.7337716700014973
31,0.058456,0.020734,0,0.79167,0.71429,0.76358,0.322,0.05433,0.01389,0,0.00901,0.00901,0.00901,0.3083317274375,0.75099201081038
32,0.056315,0.019318,0,0.76015,0.6685,0.72014,0.29538,0.065065,0.012848,0,0.008977,0.008977,0.008977,0.320810766,0.7113852588107653
33,0.056465,0.019979,0,0.77018,0.74359,0.71374,0.29353,0.059819,0.014747,0,0.008944,0.008944,0.008944,0.3323675081764706,0.7566514677923329
34,0.056106,0.01863,0,0.75917,0.73322,0.77917,0.33872,0.054986,0.013055,0,0.008911,0.008911,0.008911,0.34513329365714285,0.7459693878945853
35,0.056198,0.018718,0,0.80895,0.74725,0.78224,0.39426,0.054082,0.012844,0,0.008878,0.008878,0.008878,0.3572751466111111,0.7768768635136871
36,0.054446,0.019018,0,0.75478,0.72722,0.78488,0.33452,0.055897,0.012588,0,0.008845,0.008845,0.008845,0.36883203454054053,0.7407437403508772
37,0.055824,0.019225,0,0.81127,0.72161,0.80047,0.33912,0.05327,0.014403,0,0.008812,0.008812,0.008812,0.38019092836842105,0.7638178392307291
38,0.053214,0.018956,0,0.77668,0.78205,0.79896,0.38055,0.053918,0.012348,0,0.008779,0.008779,0.008779,0.3909285968717949,0.7793557498732943
39,0.053857,0.018238,0,0.81656,0.77452,0.80804,0.39056,0.051151,0.012307,0,0.008746,0.008746,0.008746,0.40135638195,0.7949846031626318
40,0.052879,0.018914,0,0.83237,0.77303,0.83987,0.40273,0.050204,0.012119,0,0.008713,0.008713,0.008713,0.4120518360487805,0.8016033151862466
41,0.05262,0.018302,0,0.82442,0.73099,0.81374,0.37628,0.050271,0.012331,0,0.00868,0.00868,0.00868,0.42161583995238094,0.7748989344288644
42,0.051759,0.018624,0,0.84885,0.79853,0.85211,0.41778,0.051254,0.011665,0,0.008647,0.008647,0.008647,0.4316273320465116,0.8229214759193385
43,0.050805,0.018318,0,0.86608,0.79304,0.85377,0.43434,0.046987,0.011749,0,0.008614,0.008614,0.008614,0.4412214835909091,0.8279522677081825
44,0.051772,0.017803,0,0.80469,0.76968,0.80714,0.37755,0.049203,0.012441,0,0.008581,0.008581,0.008581,0.4493530061777778,0.786795733150403
45,0.050238,0.01813,0,0.81187,0.74296,0.8048,0.33085,0.052005,0.012013,0,0.008548,0.008548,0.008548,0.45708011473913046,0.7758879558536946
46,0.048589,0.018368,0,0.8059,0.69963,0.74172,0.34299,0.066615,0.011399,0,0.008515,0.008515,0.008515,0.4631362825106383,0.7490143896169456
47,0.049552,0.017522,0,0.8352,0.77039,0.8234,0.41679,0.049378,0.012155,0,0.008482,0.008482,0.008482,0.470641776625,0.8014869649163237
48,0.050285,0.017786,0,0.85282,0.7641,0.85258,0.4495,0.044539,0.011749,0,0.008449,0.008449,0.008449,0.47843643424489796,0.8060259777849246
49,0.049254,0.017653,0,0.87478,0.78049,0.86717,0.47693,0.04281,0.0115,0,0.008416,0.008416,0.008416,0.48621110555999997,0.8249494550133815
50,0.047439,0.017732,0,0.89226,0.78388,0.88527,0.47193,0.041805,0.011329,0,0.008383,0.008383,0.008383,0.4940357897647059,0.834566049136707
51,0.049509,0.017905,0,0.84969,0.77106,0.86414,0.45848,0.044927,0.011383,0,0.00835,0.00835,0.00835,0.5011531784230769,0.808467649421564
52,0.048773,0.016998,0,0.83613,0.80769,0.87391,0.45814,0.044676,0.011207,0,0.008317,0.008317,0.008317,0.508186326,0.8216639774427857
53,0.048135,0.016972,0,0.894,0.78022,0.88779,0.49663,0.040814,0.011097,0,0.008284,0.008284,0.008284,0.5152160236666666,0.8332437553009759
54,0.045567,0.016734,0,0.84541,0.78123,0.85164,0.40434,0.048199,0.011305,0,0.008251,0.008251,0.008251,0.5213328232363637,0.8120538709241134
55,0.047615,0.017359,0,0.86571,0.77925,0.85917,0.44156,0.043984,0.011279,0,0.008218,0.008218,0.008218,0.5273656299642857,0.8202078074846805
56,0.047041,0.016833,0,0.88665,0.76557,0.86846,0.44721,0.043735,0.011112,0,0.008185,0.008185,0.008185,0.5333497417192983,0.8216734339252642
57,0.045407,0.016247,0,0.86751,0.82234,0.88944,0.47318,0.042075,0.011027,0,0.008152,0.008152,0.008152,0.5394892289310345,0.8443212988135042
58,0.046762,0.016967,0,0.82367,0.76999,0.83312,0.43425,0.045202,0.011723,0,0.008119,0.008119,0.008119,0.544466021661017,0.7959259356449933
59,0.047239,0.017024,0,0.85657,0.80403,0.89041,0.50624,0.039134,0.01073,0,0.008086,0.008086,0.008086,0.5502317546333334,0.8294688390943034
60,0.046894,0.016525,0,0.89074,0.7967,0.88897,0.45059,0.043214,0.010803,0,0.008053,0.008053,0.008053,0.5557848406229509,0.8410996041340728
