epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2,cumulative_avg_mAP_0.5,metrics/F1_score
0,0.21661,0.020427,0,0.00025654,0.025498,0.00015131,3.7877e-05,0.15842,0.01868,0,0.073,0.003,0.003,0.00015131,0.0005079692295028371
1,0.15864,0.019171,0,0.00037207,0.036981,0.00026222,6.4551e-05,0.14446,0.01515,0,0.04508,0.0060799,0.0060799,0.00020676500000000003,0.0007367276997580119
2,0.11477,0.022231,0,0.0024125,0.23978,0.0028584,0.0006993,0.11897,0.016706,0,0.017139,0.0091393,0.0091393,0.0010906433333333335,0.0047769377664461125
3,0.092877,0.022841,0,0.33738,0.14927,0.1029,0.032707,0.093118,0.031059,0,0.009901,0.009901,0.009901,0.026542982500000003,0.20696892057947192
4,0.081732,0.020525,0,0.33781,0.3811,0.26349,0.087881,0.089484,0.029183,0,0.009901,0.009901,0.009901,0.073932386,0.35815162120432326
5,0.075147,0.018244,0,0.44179,0.41405,0.36109,0.14119,0.070697,0.02291,0,0.009868,0.009868,0.009868,0.12179198833333334,0.4274704372312582
6,0.069552,0.016174,0,0.53306,0.49118,0.44377,0.20629,0.064723,0.016888,0,0.009835,0.009835,0.009835,0.16778884714285716,0.5112637873935796
7,0.068229,0.01569,0,0.57805,0.46707,0.45457,0.18904,0.072208,0.01739,0,0.009802,0.009802,0.009802,0.20363649125,0.5166675855404164
8,0.066938,0.015198,0,0.7061,0.53187,0.58134,0.26523,0.056215,0.013519,0,0.009769,0.009769,0.009769,0.24560354777777776,0.6067245684467314
9,0.064057,0.01505,0,0.75301,0.52685,0.60705,0.29505,0.057172,0.013409,0,0.009736,0.009736,0.009736,0.281748193,0.6199479919678715
10,0.061655,0.014365,0,0.63824,0.5434,0.57251,0.27609,0.057221,0.014944,0,0.009703,0.009703,0.009703,0.3081810845454545,0.5870140076503843
11,0.059017,0.014552,0,0.77582,0.56508,0.65574,0.3334,0.052214,0.011727,0,0.00967,0.00967,0.00967,0.33714432749999995,0.6538897242150794
12,0.060723,0.014035,0,0.54399,0.41355,0.39449,0.14757,0.086398,0.012685,0,0.009637,0.009637,0.009637,0.34155553307692305,0.46988546588132085
13,0.058978,0.013586,0,0.77982,0.51114,0.60095,0.30641,0.061364,0.012127,0,0.009604,0.009604,0.009604,0.36008370928571426,0.617520596765198
14,0.05767,0.013288,0,0.81206,0.57569,0.67512,0.35733,0.052938,0.011017,0,0.009571,0.009571,0.009571,0.38108612866666663,0.6737450137272564
15,0.056153,0.013353,0,0.77973,0.59929,0.67488,0.35313,0.05259,0.011531,0,0.009538,0.009538,0.009538,0.399448245625,0.6777050248727357
16,0.054214,0.013353,0,0.83498,0.58786,0.68927,0.37834,0.048779,0.011061,0,0.009505,0.009505,0.009505,0.41649658411764706,0.6899599994377443
17,0.054983,0.013218,0,0.75284,0.58764,0.67746,0.33489,0.054113,0.01227,0,0.009472,0.009472,0.009472,0.43099455166666667,0.6600604225352114
18,0.054006,0.013195,0,0.8122,0.62462,0.71891,0.40877,0.047316,0.010382,0,0.009439,0.009439,0.009439,0.4461479963157895,0.7061655099455743
19,0.053727,0.013192,0,0.7928,0.64725,0.73137,0.40426,0.047853,0.01154,0,0.009406,0.009406,0.009406,0.4604090965,0.7126694212006527
20,0.053803,0.012988,0,0.80891,0.65765,0.7423,0.41343,0.044229,0.010688,0,0.009373,0.009373,0.009373,0.47383247285714286,0.7254795732871482
21,0.053227,0.012828,0,0.81124,0.64227,0.73544,0.38624,0.048173,0.011192,0,0.00934,0.00934,0.00934,0.4857237240909091,0.7169336499920881
22,0.051738,0.012771,0,0.83203,0.64995,0.7588,0.42512,0.044032,0.010274,0,0.009307,0.009307,0.009307,0.4975966056521739,0.729804583732574
23,0.051594,0.012817,0,0.81389,0.63214,0.72981,0.40208,0.048337,0.0098746,0,0.009274,0.009274,0.009274,0.5072721637500001,0.7115930161891524
24,0.050325,0.012075,0,0.8125,0.66805,0.76025,0.44814,0.042859,0.010242,0,0.009241,0.009241,0.009241,0.5173912772,0.7332283610820304
25,0.050255,0.012418,0,0.81561,0.68592,0.77241,0.43926,0.040853,0.0099139,0,0.009208,0.009208,0.009208,0.5271996896153847,0.7451642141016164
26,0.04953,0.012016,0,0.82415,0.68378,0.7794,0.45002,0.040386,0.0096702,0,0.009175,0.009175,0.009175,0.5365404418518518,0.7474316274628133
27,0.04938,0.012394,0,0.81412,0.66413,0.75681,0.42802,0.042932,0.0099585,0,0.009142,0.009142,0.009142,0.5444072117857143,0.7315156646034162
28,0.049494,0.012579,0,0.82238,0.68034,0.78382,0.47373,0.039583,0.0097304,0,0.009109,0.009109,0.009109,0.5526628251724138,0.7446470522785348
29,0.049272,0.012513,0,0.84582,0.70127,0.79659,0.47518,0.038429,0.0096691,0,0.009076,0.009076,0.009076,0.5607937310000001,0.7667920953532116
30,0.048355,0.012,0,0.84483,0.67916,0.78204,0.45214,0.041657,0.0099362,0,0.009043,0.009043,0.009043,0.5679307074193548,0.7529901676520186
31,0.047804,0.012293,0,0.81211,0.6974,0.78628,0.44949,0.04052,0.009572,0,0.00901,0.00901,0.00901,0.5747541228125,0.7503965048260693
32,0.047771,0.012131,0,0.82478,0.68186,0.77839,0.4573,0.039308,0.0095703,0,0.008977,0.008977,0.008977,0.580924906969697,0.7465412982530664
33,0.046493,0.011977,0,0.82988,0.70111,0.79418,0.46774,0.039312,0.0095217,0,0.008944,0.008944,0.008944,0.5871971155882353,0.7600796436292856
34,0.046493,0.011994,0,0.84273,0.69858,0.79549,0.47903,0.038864,0.0094814,0,0.008911,0.008911,0.008911,0.5931483408571429,0.7639142332171983
35,0.046813,0.011963,0,0.80531,0.64421,0.73204,0.3893,0.049702,0.0097885,0,0.008878,0.008878,0.008878,0.5970064425,0.7158076537060543
36,0.046883,0.012155,0,0.82876,0.70044,0.7929,0.46972,0.038106,0.0094883,0,0.008845,0.008845,0.008845,0.6023008629729729,0.7592161318336386
37,0.046292,0.011841,0,0.84244,0.71108,0.79781,0.4769,0.038969,0.0095581,0,0.008812,0.008812,0.008812,0.607445840263158,0.7712063381224574
38,0.046311,0.011882,0,0.85625,0.689,0.7762,0.46236,0.040926,0.010337,0,0.008779,0.008779,0.008779,0.61177287,0.7635738553632099
39,0.04465,0.011731,0,0.81316,0.71496,0.80375,0.47903,0.037185,0.0091677,0,0.008746,0.008746,0.008746,0.61657229825,0.760904737324294
40,0.045129,0.011817,0,0.83697,0.70939,0.80316,0.474,0.035908,0.0095984,0,0.008713,0.008713,0.008713,0.621123217804878,0.7679171063659174
41,0.044878,0.011601,0,0.85068,0.71091,0.80603,0.4928,0.036785,0.0094593,0,0.00868,0.00868,0.00868,0.6255257602380953,0.7745399481297909
42,0.044972,0.011799,0,0.81901,0.72121,0.80896,0.48328,0.03674,0.0092784,0,0.008647,0.008647,0.008647,0.6297916727906977,0.7670049760423835
43,0.044829,0.011756,0,0.8537,0.73015,0.82523,0.51082,0.03516,0.0090826,0,0.008614,0.008614,0.008614,0.6342334529545455,0.7871061716702971
44,0.044036,0.011714,0,0.83771,0.73389,0.81948,0.48353,0.034676,0.0092832,0,0.008581,0.008581,0.008581,0.638350042888889,0.7823708219648765
45,0.04487,0.011407,0,0.86173,0.7398,0.83211,0.50258,0.035463,0.0090041,0,0.008548,0.008548,0.008548,0.6425622158695653,0.7961235243798118
46,0.043926,0.011567,0,0.82758,0.7181,0.80977,0.49192,0.037276,0.0089656,0,0.008515,0.008515,0.008515,0.6461198282978724,0.7689627840173903
47,0.043381,0.011601,0,0.84212,0.70399,0.80216,0.45516,0.040876,0.0091937,0,0.008482,0.008482,0.008482,0.6493706652083333,0.7668847091086662
48,0.043582,0.011615,0,0.86313,0.72627,0.82779,0.50442,0.035145,0.0089705,0,0.008449,0.008449,0.008449,0.6530118761224489,0.7888076319365799
49,0.043161,0.011434,0,0.84285,0.71884,0.80986,0.49139,0.036207,0.0089244,0,0.008416,0.008416,0.008416,0.6561488386000001,0.7759213339395142
50,0.042744,0.011492,0,0.84777,0.69682,0.79044,0.46995,0.038261,0.0093889,0,0.008383,0.008383,0.008383,0.658781998627451,0.7649189641264026
51,0.041599,0.011622,0,0.85803,0.72915,0.82668,0.49578,0.03538,0.0088979,0,0.00835,0.00835,0.00835,0.662010806346154,0.788357432049295
52,0.042379,0.011229,0,0.83975,0.72188,0.81364,0.48801,0.036945,0.0091631,0,0.008317,0.008317,0.008317,0.664871734528302,0.776366655353701
53,0.042139,0.011556,0,0.8498,0.72459,0.81829,0.49379,0.036283,0.0089261,0,0.008284,0.008284,0.008284,0.6677128135185185,0.7822160735268897
54,0.042335,0.01127,0,0.86526,0.73087,0.83245,0.52418,0.034567,0.0088431,0,0.008251,0.008251,0.008251,0.6707080350909091,0.7924073555412153
55,0.042091,0.01131,0,0.85691,0.73725,0.8332,0.50668,0.035131,0.0090413,0,0.008218,0.008218,0.008218,0.6736096773214285,0.7925890719877553
56,0.043086,0.011375,0,0.86658,0.7217,0.8259,0.48152,0.035976,0.0087885,0,0.008185,0.008185,0.008185,0.676281437368421,0.7875321555393255
57,0.041968,0.011254,0,0.83049,0.70075,0.78073,0.44394,0.043474,0.0091871,0,0.008152,0.008152,0.008152,0.6780822746551725,0.7601236481544368
58,0.041409,0.011014,0,0.86563,0.74731,0.83994,0.51864,0.034249,0.008779,0,0.008119,0.008119,0.008119,0.6808256259322034,0.8021302160030752
59,0.04332,0.011545,0,0.85041,0.73149,0.81733,0.50037,0.035636,0.0096533,0,0.008086,0.008086,0.008086,0.6831006988333334,0.7864800694102028
60,0.041204,0.010988,0,0.85475,0.75262,0.8377,0.52986,0.033079,0.0086636,0,0.008053,0.008053,0.008053,0.6856351136065574,0.8004404026453149
61,0.041168,0.011296,0,0.85068,0.7207,0.81887,0.48839,0.036362,0.0087052,0,0.00802,0.00802,0.00802,0.6877840633870967,0.7803142155302981
62,0.041543,0.011329,0,0.87691,0.7516,0.84635,0.5402,0.033158,0.0085385,0,0.007987,0.007987,0.007987,0.6903009830158731,0.8094338456625996
63,0.039247,0.010731,0,0.86785,0.74553,0.84436,0.53574,0.032443,0.0085188,0,0.007954,0.007954,0.007954,0.69270815515625,0.8020530941253765
64,0.040928,0.011358,0,0.85143,0.74873,0.83305,0.51768,0.035188,0.0085397,0,0.007921,0.007921,0.007921,0.6948672604615385,0.7967843014448556
65,0.039951,0.01121,0,0.87596,0.75414,0.84876,0.54061,0.033429,0.008478,0,0.007888,0.007888,0.007888,0.6971989686363637,0.8104980975400282
66,0.039878,0.011288,0,0.86181,0.76561,0.85077,0.53447,0.032553,0.0085639,0,0.007855,0.007855,0.007855,0.6994910735820895,0.8108667143085375
67,0.039684,0.011129,0,0.85836,0.76443,0.84846,0.5348,0.032769,0.008475,0,0.007822,0.007822,0.007822,0.7016817930882353,0.8086765814430702
68,0.040107,0.010925,0,0.87272,0.75026,0.84883,0.5162,0.034174,0.0084756,0,0.007789,0.007789,0.007789,0.7038143757971015,0.8068699641400388
