epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2,cumulative_avg_mAP_0.5,metrics/F1_score
0,0.12796,0.017281,0,0.3424,0.33147,0.26319,0.088368,0.076388,0.01437,0,0.070129,0.003319,0.003319,0.26319,0.3368463590900322
1,0.075282,0.016227,0,0.55391,0.61995,0.5734,0.1993,0.065362,0.018357,0,0.040107,0.0066303,0.0066303,0.418295,0.5850723331572761
2,0.065844,0.014065,0,0.69098,0.71355,0.6969,0.27451,0.056643,0.040217,0,0.010063,0.0099197,0.0099197,0.5111633333333333,0.7020836564544723
3,0.058979,0.012639,0,0.61458,0.51755,0.51438,0.17729,0.084636,0.0098952,0,0.009901,0.009901,0.009901,0.5119675,0.5619069877134251
4,0.054649,0.012066,0,0.68064,0.60093,0.62794,0.23127,0.065626,0.011428,0,0.009901,0.009901,0.009901,0.535162,0.638306132634191
5,0.051868,0.011671,0,0.84677,0.78886,0.85273,0.39693,0.048753,0.008567,0,0.009868,0.009868,0.009868,0.58809,0.8167898390222729
6,0.050112,0.011478,0,0.85326,0.80913,0.86742,0.42646,0.04611,0.0078784,0,0.009835,0.009835,0.009835,0.6279942857142856,0.8306092599209571
7,0.048926,0.011437,0,0.83501,0.76775,0.83649,0.39727,0.050544,0.0078218,0,0.009802,0.009802,0.009802,0.65405625,0.7999687133444808
8,0.047998,0.01128,0,0.85099,0.81231,0.86274,0.42837,0.046866,0.007704,0,0.009769,0.009769,0.009769,0.6772433333333333,0.8312002487825407
9,0.047446,0.011129,0,0.87166,0.82076,0.88256,0.45519,0.045111,0.0074133,0,0.009736,0.009736,0.009736,0.697775,0.8454445842048665
10,0.046858,0.011077,0,0.87518,0.83636,0.89524,0.46913,0.042331,0.0074159,0,0.009703,0.009703,0.009703,0.7157263636363637,0.855329755424939
11,0.046202,0.011058,0,0.87582,0.85257,0.9066,0.47131,0.04244,0.0074275,0,0.00967,0.00967,0.00967,0.7316325,0.8640386225331088
12,0.045605,0.010958,0,0.87827,0.83824,0.89885,0.48323,0.041742,0.0073692,0,0.009637,0.009637,0.009637,0.7444953846153847,0.8577882386936284
13,0.045529,0.010904,0,0.88376,0.84994,0.90927,0.49207,0.040463,0.007288,0,0.009604,0.009604,0.009604,0.756265,0.8665201296648786
14,0.04479,0.0108,0,0.87857,0.84515,0.89896,0.46341,0.041992,0.0072836,0,0.009571,0.009571,0.009571,0.765778,0.8615360215116143
15,0.044774,0.010855,0,0.89406,0.86758,0.9197,0.5034,0.03984,0.0071099,0,0.009538,0.009538,0.009538,0.7753981249999999,0.8806209836288913
16,0.044211,0.01084,0,0.8937,0.87143,0.92403,0.51209,0.038893,0.0070579,0,0.009505,0.009505,0.009505,0.7841411764705882,0.8824245137751895
17,0.044134,0.010798,0,0.86463,0.82893,0.88633,0.45784,0.042669,0.0076192,0,0.009472,0.009472,0.009472,0.7898183333333333,0.8464037245801742
18,0.043666,0.010637,0,0.87713,0.8555,0.90796,0.4832,0.04138,0.0070693,0,0.009439,0.009439,0.009439,0.7960363157894736,0.86617998649452
19,0.043508,0.010652,0,0.89926,0.86593,0.92687,0.5034,0.03954,0.007023,0,0.009406,0.009406,0.009406,0.8025779999999999,0.8822803344682442
20,0.043187,0.010591,0,0.89197,0.86052,0.91929,0.50257,0.039609,0.0069881,0,0.009373,0.009373,0.009373,0.8081357142857142,0.8759628008148407
21,0.043148,0.010677,0,0.89846,0.87448,0.92931,0.52579,0.03789,0.0067857,0,0.00934,0.00934,0.00934,0.8136436363636363,0.8863078285785193
22,0.042975,0.010628,0,0.90093,0.87583,0.93445,0.51906,0.038623,0.0068452,0,0.009307,0.009307,0.009307,0.8188960869565218,0.8882027081879377
23,0.042697,0.010566,0,0.89661,0.8684,0.92563,0.5192,0.038688,0.0068763,0,0.009274,0.009274,0.009274,0.8233433333333333,0.8822795610223172
24,0.042571,0.010526,0,0.88341,0.85811,0.91201,0.50083,0.040317,0.0069092,0,0.009241,0.009241,0.009241,0.8268899999999999,0.8705762266296111
25,0.042419,0.010466,0,0.9041,0.87645,0.93588,0.53291,0.037161,0.0067853,0,0.009208,0.009208,0.009208,0.8310819230769231,0.8900603128246891
