epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2,cumulative_avg_mAP_0.5,metrics/F1_score
0,0.21751,0.023256,0,0.00014085,0.0054945,7.0824e-05,9.4358e-06,0.16754,0.020177,0,0.0937,0.0007,0.0007,7.0824e-05,0.00027465918709574386
1,0.19298,0.021592,0,0.00012658,0.0054945,0.00012325,2.0441e-05,0.15989,0.018629,0,0.086495,0.001495,0.001495,9.703699999999999e-05,0.0002474591395247888
2,0.17539,0.020684,0,0.0004023,0.051282,0.00029381,7.2318e-05,0.15542,0.017306,0,0.079285,0.0022848,0.0022848,0.00016262799999999998,0.000798337158479461
3,0.16203,0.020924,0,0.00048851,0.062271,0.00031862,6.5495e-05,0.15427,0.016239,0,0.072069,0.0030693,0.0030693,0.000201626,0.0009694150323990739
4,0.15005,0.021245,0,0.00053161,0.067766,0.00035139,7.0248e-05,0.15375,0.015265,0,0.064849,0.0038485,0.0038485,0.0002315788,0.0010549441850161375
5,0.14,0.022665,0,0.00067529,0.086081,0.00041331,8.3741e-05,0.15331,0.014298,0,0.057622,0.0046225,0.0046225,0.0002618673333333333,0.0013400674115963236
6,0.12564,0.024202,0,0.0004023,0.051282,0.00024294,3.5266e-05,0.15292,0.013437,0,0.050391,0.0053911,0.0053911,0.0002591634285714286,0.000798337158479461
7,0.11528,0.025013,0,0.00041667,0.053114,0.00026478,4.183e-05,0.14976,0.01306,0,0.043154,0.0061545,0.0061545,0.0002598655,0.0008268534796967794
8,0.10759,0.025965,0,0.00077586,0.098901,0.00051159,8.4555e-05,0.14585,0.013135,0,0.035913,0.0069126,0.0069126,0.00028783488888888887,0.0015396417956986205
9,0.099946,0.027005,0,0.0011638,0.14835,0.0011732,0.00018517,0.13812,0.013964,0,0.028665,0.0076654,0.0076654,0.00037637139999999994,0.0023094822016429253
10,0.092708,0.028207,0,0.0018678,0.2381,0.0024997,0.00045841,0.13448,0.014337,0,0.021413,0.0084129,0.0084129,0.0005694012727272727,0.0037065237919420855
11,0.089679,0.02683,0,0.0056034,0.71429,0.069018,0.016767,0.10728,0.018027,0,0.014155,0.0091552,0.0091552,0.006273451166666666,0.011119570164138188
