epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2,cumulative_avg_mAP_0.5,metrics/F1_score
0,0.1808,0.018549,0,0.00039755,0.039514,0.00073781,0.00039535,0.14742,0.016183,0,0.070682,0.0032576,0.0032576,0.00073781,0.0007871801871889213
1,0.12575,0.019235,0,0.00047571,0.047281,0.00031979,5.8462e-05,0.14166,0.013991,0,0.04066,0.0065692,0.0065692,0.0005288000000000001,0.0009419427975670854
2,0.10389,0.020838,0,0.0052209,0.51891,0.026847,0.0049132,0.12408,0.013796,0,0.010616,0.0098587,0.0098587,0.009301533333333332,0.010337788590598264
3,0.087952,0.019903,0,0.27623,0.33536,0.206,0.066434,0.076063,0.019101,0,0.009901,0.009901,0.009901,0.05847615,0.3029365843130201
4,0.078416,0.017485,0,0.3843,0.42199,0.3095,0.10208,0.071196,0.021246,0,0.009901,0.009901,0.009901,0.10868092,0.40226409108385314
5,0.072562,0.016324,0,0.53495,0.46327,0.42352,0.18041,0.066461,0.016961,0,0.009868,0.009868,0.009868,0.1611541,0.4965364078058945
6,0.067277,0.015278,0,0.68145,0.49201,0.5278,0.2757,0.061823,0.020674,0,0.009835,0.009835,0.009835,0.21353208571428572,0.5714386762224533
7,0.066215,0.015073,0,0.68435,0.49949,0.54988,0.28633,0.059261,0.018191,0,0.009802,0.009802,0.009802,0.255575575,0.5774867912893634
8,0.062378,0.014673,0,0.72857,0.53394,0.60386,0.30736,0.053731,0.012509,0,0.009769,0.009769,0.009769,0.29427384444444443,0.6162528071856856
9,0.061184,0.014538,0,0.77486,0.54441,0.63253,0.32912,0.056963,0.013234,0,0.009736,0.009736,0.009736,0.32809946,0.6395075043016213
10,0.059099,0.013837,0,0.69516,0.56066,0.62983,0.33003,0.055856,0.013128,0,0.009703,0.009703,0.009703,0.35552950909090913,0.620707435141979
11,0.056988,0.013637,0,0.77251,0.57481,0.66258,0.37666,0.052896,0.01143,0,0.00967,0.00967,0.00967,0.38111705,0.6591551718968026
12,0.05785,0.013967,0,0.7825,0.57801,0.68756,0.34886,0.053443,0.01091,0,0.009637,0.009637,0.009637,0.4046895846153846,0.6648871746624427
13,0.055668,0.013421,0,0.75665,0.59659,0.68688,0.39706,0.050034,0.011518,0,0.009604,0.009604,0.009604,0.42484604285714284,0.6671541241760515
14,0.055744,0.013373,0,0.77321,0.60098,0.70351,0.39664,0.047692,0.010975,0,0.009571,0.009571,0.009571,0.44342364,0.676302033634359
15,0.053599,0.01292,0,0.78347,0.60469,0.70844,0.39429,0.047131,0.010498,0,0.009538,0.009538,0.009538,0.4599871625,0.6825675344340709
16,0.052841,0.013015,0,0.81723,0.58257,0.69237,0.40073,0.047318,0.011,0,0.009505,0.009505,0.009505,0.47365674117647055,0.6802310060008574
17,0.052209,0.013212,0,0.80121,0.58696,0.69339,0.41224,0.046149,0.011647,0,0.009472,0.009472,0.009472,0.4858641444444445,0.677551339677417
18,0.051704,0.013238,0,0.77706,0.61803,0.70692,0.40023,0.045809,0.010661,0,0.009439,0.009439,0.009439,0.49749866315789476,0.688480874782272
19,0.051841,0.012791,0,0.79089,0.66971,0.74665,0.42833,0.044787,0.010271,0,0.009406,0.009406,0.009406,0.50995623,0.7252730958510202
20,0.051061,0.012783,0,0.81427,0.65962,0.74949,0.45037,0.047813,0.010976,0,0.009373,0.009373,0.009373,0.5213626,0.7288315646350815
21,0.05121,0.012579,0,0.79803,0.65188,0.74637,0.42704,0.044547,0.010446,0,0.00934,0.00934,0.00934,0.531590209090909,0.717589086770903
22,0.049534,0.012321,0,0.82161,0.67173,0.76634,0.44521,0.043306,0.010027,0,0.009307,0.009307,0.009307,0.5417967217391304,0.7391486001848206
23,0.049563,0.012706,0,0.8186,0.66143,0.7575,0.44399,0.043171,0.0099476,0,0.009274,0.009274,0.009274,0.5507843583333333,0.7316697607480929
24,0.048992,0.012117,0,0.82145,0.63627,0.74042,0.45453,0.041751,0.010511,0,0.009241,0.009241,0.009241,0.558369784,0.7170979220975221
25,0.048194,0.012198,0,0.80909,0.63479,0.74345,0.43271,0.041171,0.01041,0,0.009208,0.009208,0.009208,0.5654882538461539,0.7114195654763553
26,0.047475,0.012012,0,0.81856,0.63779,0.75289,0.46622,0.040394,0.010074,0,0.009175,0.009175,0.009175,0.5724290592592592,0.716955927352628
27,0.046715,0.012328,0,0.83329,0.66025,0.7549,0.4399,0.044808,0.0098057,0,0.009142,0.009142,0.009142,0.5789458785714287,0.7367458822662936
28,0.047879,0.012258,0,0.84586,0.65147,0.74956,0.44076,0.041863,0.010744,0,0.009109,0.009109,0.009109,0.584829124137931,0.7360467154201145
29,0.047359,0.012045,0,0.82168,0.68083,0.77506,0.45859,0.043151,0.010318,0,0.009076,0.009076,0.009076,0.5911701533333333,0.7446531396130476
30,0.047035,0.012223,0,0.84228,0.67562,0.78276,0.46676,0.040559,0.0098883,0,0.009043,0.009043,0.009043,0.597350470967742,0.7498006635483234
31,0.045058,0.01183,0,0.83389,0.67984,0.77839,0.46288,0.040045,0.0097968,0,0.00901,0.00901,0.00901,0.60300795625,0.7490262828906079
32,0.044794,0.011669,0,0.8093,0.68941,0.77754,0.48076,0.038111,0.0099479,0,0.008977,0.008977,0.008977,0.608296806060606,0.7445596719845734
33,0.045076,0.011667,0,0.82051,0.67001,0.77079,0.45522,0.039363,0.0099948,0,0.008944,0.008944,0.008944,0.6130760176470589,0.7376618966535169
34,0.044987,0.011807,0,0.85001,0.69283,0.79797,0.49088,0.0386,0.0096496,0,0.008911,0.008911,0.008911,0.6183587028571429,0.7634134820201706
35,0.044045,0.011711,0,0.8333,0.68708,0.78311,0.47588,0.038945,0.0098173,0,0.008878,0.008878,0.008878,0.6229351277777778,0.7531587682026862
36,0.044516,0.01206,0,0.84187,0.70213,0.7954,0.47267,0.038936,0.0097371,0,0.008845,0.008845,0.008845,0.6275963405405405,0.7656764029792746
37,0.044778,0.011792,0,0.84597,0.69926,0.80158,0.48745,0.037513,0.0095203,0,0.008812,0.008812,0.008812,0.6321748578947368,0.765650397934288
38,0.044182,0.011768,0,0.82393,0.70563,0.78376,0.44533,0.041622,0.0095713,0,0.008779,0.008779,0.008779,0.6360616564102565,0.760205190904574
39,0.043579,0.011765,0,0.85046,0.68186,0.7823,0.47553,0.038366,0.0099065,0,0.008746,0.008746,0.008746,0.639717615,0.7568845353450977
40,0.043869,0.011705,0,0.83338,0.71789,0.80443,0.50827,0.037016,0.009405,0,0.008713,0.008713,0.008713,0.6437349902439025,0.771335961115731
41,0.043878,0.011629,0,0.84819,0.71611,0.80012,0.49769,0.03737,0.009428,0,0.00868,0.00868,0.00868,0.6474584428571428,0.7765739831234417
42,0.043661,0.011505,0,0.84081,0.71935,0.81156,0.49998,0.036897,0.0095167,0,0.008647,0.008647,0.008647,0.6512747581395348,0.7753521093990361
43,0.043235,0.011574,0,0.84712,0.727,0.81686,0.48025,0.037477,0.0092995,0,0.008614,0.008614,0.008614,0.6550380590909092,0.7824768632632836
44,0.042835,0.01176,0,0.83944,0.7229,0.80835,0.50988,0.036361,0.0095938,0,0.008581,0.008581,0.008581,0.6584449911111111,0.776823452001485
45,0.042657,0.011245,0,0.84357,0.73398,0.81882,0.50538,0.0361,0.0093101,0,0.008548,0.008548,0.008548,0.6619314043478262,0.7849684746600742
46,0.043185,0.01131,0,0.85184,0.72138,0.81179,0.48156,0.038028,0.0094469,0,0.008515,0.008515,0.008515,0.665119885106383,0.7812007719200111
47,0.042268,0.01144,0,0.87125,0.71989,0.82254,0.5115,0.035597,0.0093413,0,0.008482,0.008482,0.008482,0.6683994708333333,0.7883708064658044
48,0.041676,0.011568,0,0.87525,0.72981,0.82786,0.51638,0.035028,0.0092866,0,0.008449,0.008449,0.008449,0.6716537673469388,0.7959405910059436
49,0.042107,0.011389,0,0.85608,0.72425,0.81675,0.48723,0.037431,0.0094123,0,0.008416,0.008416,0.008416,0.674555692,0.7846664177735029
50,0.04179,0.011385,0,0.84824,0.72661,0.81909,0.51081,0.035299,0.0093404,0,0.008383,0.008383,0.008383,0.6773896980392158,0.7827280901673174
51,0.040655,0.011246,0,0.86361,0.73241,0.82718,0.51444,0.034834,0.0088422,0,0.00835,0.00835,0.00835,0.6802702807692308,0.7926173858723575
52,0.04079,0.011565,0,0.86217,0.72898,0.82022,0.49443,0.036541,0.0090628,0,0.008317,0.008317,0.008317,0.6829108415094339,0.7900005487854697
53,0.04192,0.011564,0,0.87095,0.7337,0.82336,0.5102,0.035384,0.0090182,0,0.008284,0.008284,0.008284,0.6855117518518519,0.79645532047487
54,0.041059,0.011042,0,0.8609,0.7347,0.82377,0.51404,0.035605,0.0093072,0,0.008251,0.008251,0.008251,0.6880255381818181,0.7928092629731761
55,0.041488,0.011143,0,0.84661,0.71429,0.80424,0.49432,0.037202,0.0089239,0,0.008218,0.008218,0.008218,0.6901007964285714,0.7748415105387918
56,0.041398,0.011536,0,0.86939,0.7408,0.83326,0.52112,0.034752,0.0088193,0,0.008185,0.008185,0.008185,0.6926123614035088,0.799960392251846
57,0.040368,0.011047,0,0.84284,0.72442,0.81352,0.49718,0.036232,0.0090712,0,0.008152,0.008152,0.008152,0.6946969758620689,0.7791561742148717
58,0.040923,0.011581,0,0.87303,0.75346,0.84432,0.53938,0.033749,0.008656,0,0.008119,0.008119,0.008119,0.6972329593220339,0.8088499576388419
59,0.040096,0.011021,0,0.87395,0.72813,0.81971,0.49673,0.036598,0.0090393,0,0.008086,0.008086,0.008086,0.6992742433333333,0.794403791945471
60,0.041105,0.011247,0,0.88142,0.74554,0.84067,0.53656,0.033729,0.0091417,0,0.008053,0.008053,0.008053,0.701592206557377,0.8078058056743865
61,0.039435,0.010928,0,0.86942,0.74203,0.83069,0.51629,0.035273,0.0087169,0,0.00802,0.00802,0.00802,0.7036744290322581,0.8006897174594308
62,0.04057,0.011664,0,0.87583,0.71884,0.82118,0.52548,0.034872,0.0094607,0,0.007987,0.007987,0.007987,0.7055395968253968,0.7896074262386575
63,0.03873,0.010854,0,0.87902,0.75245,0.8424,0.52772,0.033941,0.0086224,0,0.007954,0.007954,0.007954,0.707678040625,0.8108253280783588
64,0.039599,0.011033,0,0.86648,0.73134,0.82722,0.50822,0.035167,0.0091569,0,0.007921,0.007921,0.007921,0.7095171476923077,0.7931950822996333
65,0.039452,0.011467,0,0.86101,0.74671,0.82931,0.53704,0.033241,0.0089554,0,0.007888,0.007888,0.007888,0.711332190909091,0.79979695108601
66,0.039438,0.010988,0,0.86265,0.74181,0.83286,0.51253,0.034533,0.0088007,0,0.007855,0.007855,0.007855,0.71314603880597,0.797679464118769
67,0.038706,0.010944,0,0.87086,0.77548,0.86054,0.54155,0.032626,0.0086267,0,0.007822,0.007822,0.007822,0.7153135970588235,0.820407100355941
68,0.039046,0.011067,0,0.8669,0.74755,0.83623,0.52037,0.034984,0.0088816,0,0.007789,0.007789,0.007789,0.7170660086956522,0.8028134596921551
69,0.039963,0.011173,0,0.86421,0.75363,0.83236,0.52915,0.034074,0.0088615,0,0.007756,0.007756,0.007756,0.7187130657142857,0.805140906764575
70,0.039467,0.01115,0,0.86188,0.76391,0.84995,0.53525,0.03345,0.0087947,0,0.007723,0.007723,0.007723,0.7205614732394366,0.8099431670756987
71,0.03922,0.010752,0,0.8656,0.7462,0.84056,0.53164,0.034333,0.0089217,0,0.00769,0.00769,0.00769,0.7222281194444444,0.801477503412334
72,0.03898,0.01122,0,0.86945,0.74221,0.83661,0.53396,0.033306,0.0088779,0,0.007657,0.007657,0.007657,0.723794994520548,0.8008072229874786
73,0.039334,0.01097,0,0.87805,0.75346,0.84514,0.53812,0.032749,0.0090359,0,0.007624,0.007624,0.007624,0.725434791891892,0.810997852296339
74,0.03886,0.01084,0,0.87362,0.7538,0.8416,0.53496,0.034199,0.008545,0,0.007591,0.007591,0.007591,0.7269836613333334,0.8092990819825245
75,0.037935,0.010956,0,0.85501,0.76106,0.84668,0.51556,0.035193,0.0088317,0,0.007558,0.007558,0.007558,0.7285586131578947,0.8053041150445216
76,0.038427,0.010941,0,0.86999,0.76271,0.8506,0.54646,0.033047,0.0085745,0,0.007525,0.007525,0.007525,0.7301435662337663,0.8128254705702211
77,0.037625,0.0108,0,0.86849,0.77278,0.8536,0.53732,0.033012,0.0088452,0,0.007492,0.007492,0.007492,0.731726341025641,0.8178443549202751
78,0.038046,0.010983,0,0.87371,0.77254,0.85909,0.53754,0.032775,0.0085732,0,0.007459,0.007459,0.007459,0.7333385392405063,0.820016307851177
79,0.037648,0.010578,0,0.86648,0.75127,0.83586,0.53999,0.033303,0.0091358,0,0.007426,0.007426,0.007426,0.7346200575,0.8047725910678412
80,0.037487,0.010671,0,0.87495,0.7656,0.86102,0.54314,0.031774,0.0085615,0,0.007393,0.007393,0.007393,0.7361805506172839,0.8166306665447564
81,0.037923,0.010757,0,0.87661,0.76478,0.85664,0.55537,0.032193,0.0084742,0,0.00736,0.00736,0.00736,0.7376495682926829,0.8168854395360031
82,0.03741,0.010641,0,0.86694,0.77592,0.85516,0.54693,0.032984,0.0084933,0,0.007327,0.007327,0.007327,0.7390653566265061,0.818908592089405
83,0.038128,0.011002,0,0.86686,0.77474,0.86068,0.5471,0.032278,0.0085166,0,0.007294,0.007294,0.007294,0.7405131500000001,0.8182152977582845
84,0.038095,0.010714,0,0.89042,0.77119,0.86502,0.55884,0.031485,0.0084754,0,0.007261,0.007261,0.007261,0.7419779364705882,0.8265272835382551
85,0.036996,0.010642,0,0.88019,0.76417,0.86042,0.55069,0.032851,0.0085831,0,0.007228,0.007228,0.007228,0.7433551697674419,0.8180870275365492
86,0.037472,0.011134,0,0.8666,0.76444,0.85167,0.5467,0.033196,0.0085254,0,0.007195,0.007195,0.007195,0.7446001678160918,0.8123206101628409
87,0.036506,0.01087,0,0.87456,0.78318,0.8696,0.55909,0.031742,0.0083529,0,0.007162,0.007162,0.007162,0.7460206204545454,0.8263514191610264
88,0.036723,0.010432,0,0.87644,0.77862,0.86252,0.56133,0.031974,0.0084136,0,0.007129,0.007129,0.007129,0.747329602247191,0.8246392430485904
89,0.037178,0.010764,0,0.87333,0.76714,0.85917,0.55495,0.032101,0.0085775,0,0.007096,0.007096,0.007096,0.7485722733333333,0.8167980837199096
90,0.036287,0.010486,0,0.88048,0.78166,0.8671,0.5679,0.031447,0.0083822,0,0.007063,0.007063,0.007063,0.7498747758241758,0.8281324037686356
91,0.036915,0.01066,0,0.88878,0.78131,0.87401,0.5672,0.030768,0.0084491,0,0.00703,0.00703,0.00703,0.7512240717391304,0.831587162128987
92,0.036406,0.01081,0,0.88371,0.7847,0.86755,0.55711,0.03211,0.0082181,0,0.006997,0.006997,0.006997,0.752474888172043,0.8312671789308383
93,0.036377,0.01053,0,0.89124,0.76661,0.86236,0.56379,0.031222,0.0084991,0,0.006964,0.006964,0.006964,0.7536438787234043,0.8242404275416957
