epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2,cumulative_avg_mAP_0.5,metrics/F1_score
0,0.11277,0.017392,0,0.32827,0.38096,0.25169,0.069246,0.084973,0.013303,0,0.070089,0.0033234,0.0033234,0.25169,0.35265778153772404
1,0.074337,0.015458,0,0.57226,0.4716,0.44952,0.11834,0.091063,0.010639,0,0.040067,0.0066348,0.0066348,0.350605,0.5170766501254958
2,0.064985,0.013589,0,0.5472,0.50515,0.45411,0.12462,0.071755,0.014126,0,0.010023,0.0099241,0.0099241,0.3851066666666667,0.5253348790801539
3,0.057802,0.012483,0,0.81715,0.76483,0.8193,0.3456,0.056823,0.0091724,0,0.009901,0.009901,0.009901,0.493655,0.7901248239547909
4,0.05311,0.01195,0,0.84299,0.77298,0.8347,0.37577,0.050237,0.0086004,0,0.009901,0.009901,0.009901,0.561864,0.8064684495380484
5,0.051005,0.011586,0,0.82119,0.71818,0.78672,0.32208,0.055698,0.0081507,0,0.009868,0.009868,0.009868,0.59934,0.7662384406607899
6,0.049696,0.011621,0,0.8392,0.78166,0.83324,0.37934,0.050956,0.0078531,0,0.009835,0.009835,0.009835,0.6327542857142857,0.8094086744074134
7,0.048625,0.011489,0,0.86826,0.82919,0.88403,0.43824,0.045464,0.0077939,0,0.009802,0.009802,0.009802,0.6641637499999999,0.848275365283219
8,0.047993,0.011399,0,0.8826,0.82091,0.89124,0.43193,0.045508,0.0075801,0,0.009769,0.009769,0.009769,0.6893944444444444,0.8506379956677684
9,0.04739,0.011214,0,0.89652,0.84476,0.91032,0.48106,0.041981,0.0073774,0,0.009736,0.009736,0.009736,0.711487,0.8698707102820913
10,0.046901,0.011086,0,0.88281,0.85414,0.91072,0.47371,0.041722,0.0074267,0,0.009703,0.009703,0.009703,0.7295990909090908,0.8682383872880624
11,0.046065,0.011115,0,0.88363,0.84997,0.90968,0.47889,0.041808,0.0073899,0,0.00967,0.00967,0.00967,0.7446058333333333,0.8664732246192894
12,0.045684,0.011046,0,0.89112,0.86495,0.91806,0.49906,0.040378,0.0072043,0,0.009637,0.009637,0.009637,0.7579484615384615,0.8778399995444374
13,0.045563,0.010999,0,0.89164,0.85391,0.91458,0.49465,0.040594,0.0071851,0,0.009604,0.009604,0.009604,0.7691364285714286,0.8723672337085732
14,0.044932,0.010839,0,0.89224,0.86664,0.91999,0.49547,0.040174,0.0070808,0,0.009571,0.009571,0.009571,0.7791933333333333,0.8792536996270354
15,0.044891,0.010876,0,0.88009,0.86397,0.91174,0.48869,0.041281,0.0071282,0,0.009538,0.009538,0.009538,0.7874775,0.871955503021685
16,0.044361,0.010873,0,0.89779,0.86958,0.92609,0.51029,0.039097,0.0070053,0,0.009505,0.009505,0.009505,0.7956311764705882,0.8834598620549177
17,0.044253,0.010812,0,0.89296,0.87558,0.92508,0.52315,0.038334,0.006907,0,0.009472,0.009472,0.009472,0.8028227777777778,0.884184600631029
18,0.043793,0.010651,0,0.90522,0.87415,0.9302,0.52028,0.038004,0.0069197,0,0.009439,0.009439,0.009439,0.8095268421052632,0.8894137396943862
19,0.043539,0.01065,0,0.90075,0.88328,0.93399,0.53037,0.0376,0.0068594,0,0.009406,0.009406,0.009406,0.8157500000000001,0.8919294630695672
