epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2,cumulative_avg_mAP_0.5,metrics/F1_score
0,0.19608,0.0212,0,0.00049383,0.058608,0.00026551,5.1882e-05,0.16129,0.019976,0,0.0901,0.0011,0.0011,0.00026551,0.0009794075290054472
1,0.16804,0.020439,0,0.0004023,0.051282,0.00021412,3.9331e-05,0.15758,0.01804,0,0.079292,0.0022924,0.0022924,0.000239815,0.000798337158479461
2,0.14705,0.020778,0,0.00037356,0.047619,0.00019676,3.5827e-05,0.15615,0.016194,0,0.068477,0.0034769,0.0034769,0.00022546333333333334,0.0007413046372187689
3,0.131,0.022022,0,0.00041667,0.053114,0.0002758,4.5126e-05,0.15478,0.015136,0,0.057653,0.0046535,0.0046535,0.0002380475,0.0008268534796967794
4,0.11773,0.02451,0,0.0004023,0.051282,0.00049142,7.0407e-05,0.15201,0.014804,0,0.046822,0.0058221,0.0058221,0.00028872200000000005,0.000798337158479461
5,0.10823,0.025125,0,0.00037356,0.047619,0.00040073,6.2936e-05,0.14853,0.015144,0,0.035983,0.0069829,0.0069829,0.00030739,0.0007413046372187689
6,0.10054,0.027118,0,0.0004023,0.051282,0.00042941,7.6918e-05,0.14413,0.01561,0,0.025136,0.0081357,0.0081357,0.0003248214285714286,0.000798337158479461
7,0.095506,0.026817,0,0.00053161,0.067766,0.0019265,0.00026055,0.13293,0.017402,0,0.014281,0.0092806,0.0092806,0.00052503125,0.0010549441850161375
8,0.088547,0.027665,0,0.0025718,0.32784,0.028742,0.0045902,0.12797,0.017291,0,0.009736,0.009736,0.009736,0.00366025,0.0051035641705290185
9,0.084361,0.026689,0,0.41411,0.10073,0.17353,0.046408,0.10709,0.018937,0,0.009736,0.009736,0.009736,0.020647224999999998,0.1620437429104188
10,0.076871,0.025097,0,0.29547,0.33333,0.27212,0.082749,0.081728,0.020883,0,0.009703,0.009703,0.009703,0.04350838636363636,0.3132602261450382
11,0.073826,0.024376,0,0.36625,0.26374,0.28967,0.085227,0.087139,0.018281,0,0.00967,0.00967,0.00967,0.06402185416666667,0.3066549469039191
12,0.073618,0.022656,0,0.30314,0.34432,0.28052,0.079591,0.082155,0.018822,0,0.009637,0.009637,0.009637,0.08067555769230769,0.322420426898959
13,0.068904,0.02247,0,0.4403,0.46703,0.4422,0.14693,0.067581,0.020272,0,0.009604,0.009604,0.009604,0.10649873214285714,0.4532712662427122
14,0.066889,0.020623,0,0.55851,0.53663,0.56371,0.24637,0.061342,0.020213,0,0.009571,0.009571,0.009571,0.13697948333333335,0.5473514277626604
15,0.063963,0.020719,0,0.45858,0.51832,0.39456,0.15157,0.069311,0.026242,0,0.009538,0.009538,0.009538,0.153078265625,0.48662337107175757
16,0.061126,0.019101,0,0.68913,0.5989,0.68425,0.26955,0.063366,0.01711,0,0.009505,0.009505,0.009505,0.1843236617647059,0.6408545717102863
17,0.060987,0.01955,0,0.66805,0.51832,0.59732,0.22672,0.066231,0.016081,0,0.009472,0.009472,0.009472,0.2072679027777778,0.5837363992683564
18,0.060312,0.019821,0,0.77095,0.73077,0.76917,0.37218,0.058173,0.016466,0,0.009439,0.009439,0.009439,0.23684169736842106,0.7503224722318409
19,0.059118,0.019206,0,0.80335,0.66484,0.77382,0.30515,0.063499,0.014797,0,0.009406,0.009406,0.009406,0.2636906125,0.7275614382334713
20,0.057918,0.018209,0,0.73582,0.71245,0.75125,0.34211,0.056053,0.015165,0,0.009373,0.009373,0.009373,0.28690772619047616,0.7239464450689445
21,0.056023,0.018308,0,0.84212,0.7327,0.81846,0.38105,0.053487,0.013927,0,0.00934,0.00934,0.00934,0.31106919318181814,0.7836086968669436
22,0.056006,0.018817,0,0.6963,0.62637,0.68942,0.3146,0.06058,0.01678,0,0.009307,0.009307,0.009307,0.32751922826086954,0.6594863888951893
23,0.054933,0.018185,0,0.85251,0.74542,0.83553,0.41722,0.051835,0.014331,0,0.009274,0.009274,0.009274,0.34868634375,0.795376523627443
24,0.056105,0.018431,0,0.80031,0.74542,0.80731,0.40007,0.054354,0.015524,0,0.009241,0.009241,0.009241,0.36703128999999995,0.7718904080272752
25,0.053738,0.017991,0,0.88029,0.79487,0.86211,0.42456,0.050146,0.013173,0,0.009208,0.009208,0.009208,0.3860727788461539,0.8354021255283077
26,0.054036,0.017666,0,0.86667,0.74176,0.8386,0.43895,0.049195,0.013536,0,0.009175,0.009175,0.009175,0.4028330462962963,0.7993647708635129
27,0.052091,0.017536,0,0.83662,0.75824,0.83433,0.3761,0.055029,0.012702,0,0.009142,0.009142,0.009142,0.41824365178571427,0.7955039925761509
28,0.052486,0.01753,0,0.86117,0.78022,0.86092,0.41809,0.053297,0.012401,0,0.009109,0.009109,0.009109,0.4335083534482759,0.8186988557259396
29,0.052718,0.017715,0,0.85926,0.75275,0.83926,0.4041,0.052851,0.012776,0,0.009076,0.009076,0.009076,0.4470334083333333,0.8024862935093454
30,0.050915,0.016934,0,0.87416,0.77606,0.85378,0.40186,0.051898,0.013928,0,0.009043,0.009043,0.009043,0.46015426612903226,0.8221941433263444
31,0.050575,0.016892,0,0.85791,0.77473,0.86111,0.48841,0.046065,0.012684,0,0.00901,0.00901,0.00901,0.4726841328125,0.814201066126029
32,0.049867,0.016116,0,0.86484,0.77839,0.84973,0.39822,0.055561,0.012293,0,0.008977,0.008977,0.008977,0.48410976515151516,0.8193409414385083
33,0.049424,0.017184,0,0.86807,0.77126,0.85398,0.44665,0.050099,0.014597,0,0.008944,0.008944,0.008944,0.49498830147058825,0.8168064614202143
34,0.048513,0.016669,0,0.81955,0.73201,0.80746,0.38304,0.056328,0.01364,0,0.008911,0.008911,0.008911,0.5039160642857142,0.7733104688184795
35,0.048622,0.017041,0,0.89471,0.80037,0.87358,0.44678,0.051055,0.012493,0,0.008878,0.008878,0.008878,0.5141845069444444,0.8449147446728179
36,0.048286,0.017151,0,0.80169,0.75092,0.79145,0.38657,0.053129,0.015985,0,0.008845,0.008845,0.008845,0.5216781689189189,0.7754749161734112
37,0.048664,0.016657,0,0.901,0.78344,0.89285,0.49707,0.043605,0.012292,0,0.008812,0.008812,0.008812,0.5314458486842105,0.8381176414713496
38,0.046894,0.016962,0,0.87844,0.79409,0.85334,0.38173,0.05258,0.012342,0,0.008779,0.008779,0.008779,0.5396995448717948,0.8341380060148397
39,0.047317,0.016287,0,0.90716,0.79304,0.87287,0.45739,0.048659,0.012461,0,0.008746,0.008746,0.008746,0.54802880625,0.8462700463474885
40,0.045361,0.016214,0,0.89047,0.80408,0.88977,0.48973,0.044521,0.012631,0,0.008713,0.008713,0.008713,0.5563639573170732,0.84507287197191
41,0.047254,0.015874,0,0.87403,0.74979,0.83301,0.33442,0.058244,0.01258,0,0.00868,0.00868,0.00868,0.5629507678571428,0.8071571402002685
42,0.045741,0.016212,0,0.91056,0.84432,0.9092,0.54719,0.040306,0.011502,0,0.008647,0.008647,0.008647,0.5710030755813954,0.8761898468271334
43,0.045666,0.015659,0,0.9144,0.78257,0.89665,0.52203,0.041759,0.011909,0,0.008614,0.008614,0.008614,0.5784041420454545,0.843364358827793
44,0.044963,0.015743,0,0.89381,0.80037,0.87728,0.44272,0.04757,0.011637,0,0.008581,0.008581,0.008581,0.5850458277777778,0.8445132272839958
45,0.044564,0.016091,0,0.90624,0.82234,0.90099,0.51239,0.042921,0.011832,0,0.008548,0.008548,0.008548,0.5919141793478261,0.8622538749725207
46,0.044327,0.016471,0,0.93006,0.81502,0.90169,0.5177,0.042947,0.011283,0,0.008515,0.008515,0.008515,0.5985051542553191,0.8687481389964931
47,0.042852,0.01627,0,0.89829,0.82492,0.90393,0.44514,0.046523,0.011239,0,0.008482,0.008482,0.008482,0.604868171875,0.8600430438542025
48,0.042843,0.015868,0,0.88902,0.79121,0.87281,0.41993,0.051653,0.011525,0,0.008449,0.008449,0.008449,0.6103363724489795,0.837268129006148
49,0.042692,0.01535,0,0.85123,0.83883,0.89088,0.45734,0.046487,0.011666,0,0.008416,0.008416,0.008416,0.615947245,0.8449845104907519
50,0.041654,0.015202,0,0.90314,0.80586,0.8968,0.41828,0.049353,0.0114,0,0.008383,0.008383,0.008383,0.6214541617647059,0.8517313053247514
51,0.043467,0.015785,0,0.88976,0.84262,0.90284,0.52506,0.039852,0.011354,0,0.00835,0.00835,0.00835,0.6268654278846154,0.8655486339024926
52,0.042781,0.01551,0,0.91095,0.82601,0.90001,0.48436,0.045339,0.011345,0,0.008317,0.008317,0.008317,0.6320190990566037,0.8664031520587694
53,0.042085,0.014971,0,0.90798,0.82967,0.91872,0.5333,0.039214,0.01098,0,0.008284,0.008284,0.008284,0.637328375,0.8670604167697753
54,0.041855,0.015034,0,0.93539,0.81685,0.91911,0.4991,0.044497,0.011105,0,0.008251,0.008251,0.008251,0.6424516772727273,0.8721103518924348
55,0.041576,0.014741,0,0.91632,0.81502,0.91298,0.50496,0.039606,0.010919,0,0.008218,0.008218,0.008218,0.6472825401785715,0.8627064890778242
56,0.042108,0.015409,0,0.90823,0.84799,0.91977,0.54872,0.040302,0.011524,0,0.008185,0.008185,0.008185,0.6520630219298246,0.8770768556331211
57,0.041899,0.014858,0,0.93606,0.80439,0.90113,0.52443,0.040992,0.011232,0,0.008152,0.008152,0.008152,0.6563572801724138,0.865244394725502
58,0.042086,0.016234,0,0.91,0.83883,0.92595,0.55929,0.037623,0.011312,0,0.008119,0.008119,0.008119,0.6609266483050847,0.8729668406877741
59,0.0396,0.014784,0,0.93061,0.837,0.93292,0.56231,0.037661,0.010877,0,0.008086,0.008086,0.008086,0.6654598708333332,0.881326276723938
60,0.040941,0.01595,0,0.91358,0.85531,0.91933,0.55582,0.038093,0.010354,0,0.008053,0.008053,0.008053,0.6696216762295082,0.8834852475846435
61,0.040024,0.014753,0,0.92699,0.82601,0.93222,0.4919,0.043776,0.010649,0,0.00802,0.00802,0.00802,0.6738571330645161,0.8735915686252138
62,0.040846,0.015154,0,0.90931,0.82633,0.91754,0.53524,0.039885,0.010862,0,0.007987,0.007987,0.007987,0.6777251150793651,0.8658363857712428
63,0.040903,0.014858,0,0.91727,0.82418,0.89782,0.47374,0.042996,0.010828,0,0.007954,0.007954,0.007954,0.68116409765625,0.8682369159034139
64,0.040114,0.014885,0,0.93759,0.85289,0.92946,0.50891,0.043346,0.010216,0,0.007921,0.007921,0.007921,0.6849840346153846,0.8932366014699968
65,0.039194,0.014785,0,0.90958,0.86595,0.93887,0.54889,0.038459,0.010358,0,0.007888,0.007888,0.007888,0.6888307916666666,0.887228941217552
66,0.038233,0.01489,0,0.91306,0.86554,0.93801,0.52062,0.040808,0.010216,0,0.007855,0.007855,0.007855,0.6925498843283582,0.88866518880018
67,0.038458,0.014465,0,0.94665,0.84504,0.94127,0.5764,0.039062,0.010204,0,0.007822,0.007822,0.007822,0.6962075330882352,0.8929637560068985
68,0.038813,0.014486,0,0.9171,0.851,0.92245,0.50522,0.042966,0.010554,0,0.007789,0.007789,0.007789,0.6994864094202898,0.8828144335727617
69,0.038932,0.014499,0,0.93256,0.83333,0.92655,0.5346,0.039072,0.010297,0,0.007756,0.007756,0.007756,0.702730175,0.8801570027578162
70,0.037732,0.014677,0,0.91277,0.88155,0.93634,0.53678,0.040408,0.010049,0,0.007723,0.007723,0.007723,0.7060204542253521,0.8968883961612198
71,0.038768,0.014595,0,0.91978,0.86996,0.93398,0.49315,0.041019,0.011338,0,0.00769,0.00769,0.00769,0.7091865590277778,0.8941765941421659
72,0.037726,0.014333,0,0.91026,0.83599,0.92298,0.4897,0.043375,0.010393,0,0.007657,0.007657,0.007657,0.7121152363013699,0.8715456061846815
73,0.037893,0.014752,0,0.92513,0.86813,0.93614,0.57311,0.036524,0.010005,0,0.007624,0.007624,0.007624,0.715142597972973,0.8957241079374992
74,0.037511,0.01501,0,0.94072,0.81379,0.91009,0.48741,0.042249,0.010583,0,0.007591,0.007591,0.007591,0.7177418966666667,0.8726636255136762
75,0.038213,0.014665,0,0.90502,0.83772,0.92205,0.51433,0.039224,0.010569,0,0.007558,0.007558,0.007558,0.7204301611842105,0.8700705261829075
76,0.03769,0.01388,0,0.93472,0.81297,0.90726,0.52455,0.040539,0.010758,0,0.007525,0.007525,0.007525,0.7228565227272726,0.8696042414844738
77,0.038276,0.014388,0,0.93689,0.85897,0.92946,0.56955,0.038826,0.010213,0,0.007492,0.007492,0.007492,0.7255052852564103,0.8962395769157951
78,0.037709,0.01383,0,0.91483,0.86559,0.93576,0.56293,0.036715,0.010058,0,0.007459,0.007459,0.007459,0.7281667373417721,0.8895290995383113
79,0.038201,0.014252,0,0.92834,0.87792,0.95135,0.59869,0.034241,0.0098213,0,0.007426,0.007426,0.007426,0.730956528125,0.9024262872454687
80,0.038,0.013943,0,0.94022,0.86264,0.93458,0.47462,0.043897,0.010093,0,0.007393,0.007393,0.007393,0.7334703981481482,0.8997608031682993
81,0.037293,0.014164,0,0.92598,0.85165,0.93016,0.51855,0.039849,0.010327,0,0.00736,0.00736,0.00736,0.7358690518292683,0.8872609789438748
82,0.036849,0.014018,0,0.89889,0.81502,0.8999,0.42601,0.047027,0.010751,0,0.007327,0.007327,0.007327,0.737845328313253,0.8549029153222749
83,0.037154,0.013725,0,0.90574,0.84478,0.91759,0.58217,0.035776,0.010396,0,0.007294,0.007294,0.007294,0.7399851458333333,0.8741985663688505
84,0.037115,0.014274,0,0.93686,0.86996,0.9386,0.53318,0.040504,0.010347,0,0.007261,0.007261,0.007261,0.7423217911764706,0.9021714676614162
85,0.036758,0.014258,0,0.90085,0.86813,0.93826,0.5892,0.034979,0.010111,0,0.007228,0.007228,0.007228,0.7446001424418605,0.884187396691879
86,0.037718,0.014208,0,0.93204,0.85165,0.93024,0.55238,0.03632,0.011032,0,0.007195,0.007195,0.007195,0.746733933908046,0.8900334318183093
87,0.035736,0.013871,0,0.91941,0.83516,0.9195,0.55579,0.036535,0.010553,0,0.007162,0.007162,0.007162,0.7486971846590909,0.8752622643724673
88,0.036697,0.013713,0,0.9023,0.86267,0.92371,0.53817,0.039015,0.0097481,0,0.007129,0.007129,0.007129,0.7506636207865168,0.8820400811345236
89,0.036611,0.013795,0,0.95966,0.87143,0.95319,0.60264,0.032368,0.0098052,0,0.007096,0.007096,0.007096,0.752913913888889,0.913419344543414
90,0.036079,0.013835,0,0.92835,0.85432,0.9286,0.5099,0.041914,0.010259,0,0.007063,0.007063,0.007063,0.7548445302197803,0.8897978560249513
91,0.03566,0.013976,0,0.92816,0.85191,0.93348,0.56894,0.035369,0.0099624,0,0.00703,0.00703,0.00703,0.7567862201086956,0.8884019005994146
92,0.034533,0.013681,0,0.95588,0.86081,0.94289,0.57714,0.035935,0.0095366,0,0.006997,0.006997,0.006997,0.7587873360215054,0.9058574250972923
93,0.035386,0.012863,0,0.93239,0.88399,0.95254,0.57632,0.03535,0.0099372,0,0.006964,0.006964,0.006964,0.7608485345744681,0.907545156960548
94,0.034402,0.014161,0,0.9486,0.87885,0.94396,0.56799,0.036293,0.0097562,0,0.006931,0.006931,0.006931,0.7627760236842106,0.9123938931297709
95,0.035365,0.013863,0,0.93708,0.84552,0.9138,0.57037,0.035703,0.010349,0,0.006898,0.006898,0.006898,0.7643491901041667,0.8889485937394818
96,0.034562,0.013618,0,0.92401,0.86853,0.93339,0.51003,0.040505,0.010028,0,0.006865,0.006865,0.006865,0.7660918788659794,0.8954114332734555
97,0.03455,0.013836,0,0.94027,0.86499,0.94322,0.60653,0.032715,0.0095345,0,0.006832,0.006832,0.006832,0.7678993086734693,0.9010603982805802
98,0.033461,0.013151,0,0.93332,0.87161,0.93985,0.59177,0.033249,0.0097872,0,0.006799,0.006799,0.006799,0.7696361843434344,0.9014100770667006
99,0.034669,0.013226,0,0.91625,0.88161,0.94327,0.54112,0.038698,0.0097476,0,0.006766,0.006766,0.006766,0.7713725225,0.8985962894774899
100,0.03395,0.01337,0,0.94181,0.86447,0.94389,0.56995,0.034897,0.009791,0,0.006733,0.006733,0.006733,0.7730806163366336,0.9014842557078636
101,0.034211,0.012555,0,0.92567,0.9011,0.95824,0.59226,0.034216,0.0093295,0,0.0067,0.0067,0.0067,0.7748959044117647,0.9132197671299616
102,0.033327,0.01298,0,0.93599,0.88385,0.94606,0.60126,0.034782,0.0095734,0,0.006667,0.006667,0.006667,0.7765576917475728,0.9091730718085106
103,0.034845,0.013662,0,0.95033,0.89927,0.95926,0.60873,0.032204,0.0091342,0,0.006634,0.006634,0.006634,0.7783144447115385,0.9240952196150518
