epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2,cumulative_avg_mAP_0.5,metrics/F1_score
0,0.16667,0.018638,0,0.00042813,0.042553,0.00031104,7.5666e-05,0.14583,0.013128,0,0.070361,0.0032932,0.0032932,0.00031104,0.0008477308944646174
1,0.11628,0.019863,0,0.0044478,0.44208,0.019593,0.0047709,0.1075,0.017734,0,0.04034,0.0066046,0.0066046,0.009952019999999999,0.008806992191751553
2,0.096251,0.019584,0,0.21532,0.32928,0.14412,0.039156,0.08518,0.032613,0,0.010296,0.0098941,0.0098941,0.054674679999999996,0.2603766786632391
3,0.079369,0.016795,0,0.36276,0.41962,0.29133,0.10165,0.080771,0.020721,0,0.009901,0.009901,0.009901,0.11383850999999999,0.38912383036376186
4,0.071845,0.015236,0,0.61398,0.4794,0.50529,0.25396,0.064955,0.013026,0,0.009901,0.009901,0.009901,0.192128808,0.5384075289469351
5,0.067008,0.015263,0,0.59856,0.49358,0.48949,0.23482,0.057617,0.013161,0,0.009868,0.009868,0.009868,0.24168900666666668,0.5410244928305894
6,0.062111,0.014318,0,0.72225,0.53615,0.6092,0.31371,0.05243,0.011905,0,0.009835,0.009835,0.009835,0.2941905771428571,0.6154391886522568
7,0.060688,0.013917,0,0.77056,0.53698,0.61221,0.31673,0.061752,0.012247,0,0.009802,0.009802,0.009802,0.333943005,0.6329065402205669
8,0.059776,0.013892,0,0.79781,0.53512,0.62866,0.34759,0.053806,0.011849,0,0.009769,0.009769,0.009769,0.3666893377777778,0.640579906221632
9,0.058465,0.013533,0,0.77748,0.5369,0.64316,0.34564,0.053994,0.011173,0,0.009736,0.009736,0.009736,0.39433640400000003,0.6351724950166618
10,0.05513,0.013412,0,0.72986,0.6106,0.65986,0.35146,0.048111,0.011309,0,0.009703,0.009703,0.009703,0.4184749127272727,0.6649247512048103
11,0.053349,0.013407,0,0.78567,0.61297,0.71029,0.38616,0.046726,0.01099,0,0.00967,0.00967,0.00967,0.4427928366666667,0.6886577531030144
12,0.055141,0.013325,0,0.82927,0.61432,0.7236,0.41833,0.045874,0.010618,0,0.009637,0.009637,0.009637,0.46439338769230765,0.7057920135218447
13,0.054535,0.012958,0,0.81447,0.59794,0.70683,0.40703,0.046933,0.010534,0,0.009604,0.009604,0.009604,0.48171028857142856,0.6896073970022869
