epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2,cumulative_avg_mAP_0.5,metrics/F1_score
0,0.1069,0.016619,0,0.32066,0.40397,0.28956,0.073226,0.089046,0.011788,0,0.070047,0.0033281,0.0033281,0.28956,0.3575259655272346
1,0.070095,0.014191,0,0.76213,0.66189,0.73216,0.29149,0.067142,0.009397,0,0.040025,0.0066394,0.0066394,0.51086,0.7084819394390528
2,0.060577,0.01275,0,0.82108,0.74827,0.80212,0.3249,0.054246,0.0087977,0,0.0099814,0.0099288,0.0099288,0.6079466666666667,0.7829859898684168
3,0.055338,0.012119,0,0.84735,0.79193,0.85581,0.40915,0.048494,0.0081757,0,0.009901,0.009901,0.009901,0.6699125,0.8187031934751843
4,0.052232,0.011738,0,0.86225,0.82494,0.87894,0.41489,0.045563,0.0078692,0,0.009901,0.009901,0.009901,0.7117180000000001,0.8431824690758006
5,0.050599,0.011523,0,0.87345,0.83185,0.89439,0.44278,0.044632,0.0077567,0,0.009868,0.009868,0.009868,0.7421633333333334,0.8521425936785317
6,0.049357,0.01145,0,0.87786,0.84186,0.90086,0.46105,0.042558,0.0075892,0,0.009835,0.009835,0.009835,0.7648342857142857,0.859483194473519
7,0.048283,0.01136,0,0.87893,0.84404,0.90223,0.45715,0.043036,0.0075556,0,0.009802,0.009802,0.009802,0.78200875,0.8611317401928066
8,0.047791,0.01125,0,0.88669,0.86137,0.91317,0.47766,0.041284,0.0072955,0,0.009769,0.009769,0.009769,0.7965822222222223,0.8738466246009862
9,0.047106,0.011108,0,0.87881,0.8499,0.90671,0.46825,0.042115,0.0073532,0,0.009736,0.009736,0.009736,0.8075950000000001,0.8641132624905276
10,0.046492,0.011056,0,0.88754,0.86521,0.91921,0.4995,0.039788,0.0071794,0,0.009703,0.009703,0.009703,0.8177418181818182,0.8762327581229498
11,0.045924,0.011012,0,0.89286,0.87876,0.92587,0.50981,0.038705,0.0070654,0,0.00967,0.00967,0.00967,0.8267525,0.8857538903376571
12,0.045219,0.010918,0,0.89313,0.87596,0.92764,0.51288,0.038483,0.0070214,0,0.009637,0.009637,0.009637,0.834513076923077,0.8844616778117563
13,0.045411,0.010888,0,0.88982,0.8729,0.92452,0.506,0.038895,0.0070742,0,0.009604,0.009604,0.009604,0.8409421428571429,0.8812787941363348
14,0.044911,0.01079,0,0.89125,0.87687,0.92535,0.51788,0.038084,0.006958,0,0.009571,0.009571,0.009571,0.8465693333333333,0.8840015242178132
15,0.04471,0.010817,0,0.89385,0.88254,0.93067,0.524,0.037642,0.0068937,0,0.009538,0.009538,0.009538,0.851825625,0.888158995490855
16,0.04404,0.010796,0,0.88932,0.88678,0.93097,0.52385,0.037486,0.0068799,0,0.009505,0.009505,0.009505,0.8564811764705883,0.8880481837734362
17,0.04396,0.01074,0,0.87804,0.86228,0.91064,0.4904,0.040473,0.0070016,0,0.009472,0.009472,0.009472,0.85949,0.870088640250069
18,0.043651,0.010593,0,0.88765,0.87231,0.92156,0.51287,0.038625,0.0069012,0,0.009439,0.009439,0.009439,0.8627568421052632,0.8799131474578968
19,0.043472,0.010615,0,0.8931,0.87793,0.92981,0.52365,0.037643,0.0068516,0,0.009406,0.009406,0.009406,0.8661095,0.8854500296437665
20,0.043157,0.010507,0,0.89208,0.88619,0.93337,0.53022,0.03709,0.0068118,0,0.009373,0.009373,0.009373,0.869312380952381,0.8891252455476389
21,0.04297,0.010669,0,0.89056,0.88684,0.93281,0.53016,0.037045,0.0068024,0,0.00934,0.00934,0.00934,0.8721986363636364,0.8886961071227636
22,0.042894,0.01059,0,0.89264,0.88436,0.9322,0.52991,0.03711,0.0067966,0,0.009307,0.009307,0.009307,0.8748073913043478,0.8884807095104107
23,0.042591,0.010449,0,0.88895,0.8856,0.93038,0.52808,0.037289,0.0067887,0,0.009274,0.009274,0.009274,0.8771229166666666,0.887271837930743
24,0.042561,0.010469,0,0.89074,0.88534,0.93147,0.53161,0.037019,0.0067588,0,0.009241,0.009241,0.009241,0.8792968000000001,0.8880317909103194
25,0.042246,0.010476,0,0.88946,0.88119,0.92851,0.52633,0.037462,0.006771,0,0.009208,0.009208,0.009208,0.8811896153846154,0.8853056870640726
26,0.042233,0.010398,0,0.89065,0.8819,0.92937,0.52677,0.037457,0.006764,0,0.009175,0.009175,0.009175,0.882974074074074,0.8862534032890469
27,0.041914,0.010314,0,0.88778,0.88339,0.92866,0.52621,0.037564,0.006764,0,0.009142,0.009142,0.009142,0.8846057142857143,0.8855795595002174
28,0.041531,0.010322,0,0.8879,0.88267,0.92784,0.52604,0.037575,0.0067632,0,0.009109,0.009109,0.009109,0.8860965517241379,0.8852772756795834
29,0.041558,0.010279,0,0.88922,0.8828,0.92807,0.5274,0.037466,0.0067547,0,0.009076,0.009076,0.009076,0.8874956666666667,0.8859983702215551
30,0.041693,0.010217,0,0.88907,0.8845,0.92923,0.52943,0.037296,0.0067428,0,0.009043,0.009043,0.009043,0.888841935483871,0.8867791121861556
31,0.041107,0.010334,0,0.89191,0.88345,0.92961,0.53087,0.037187,0.0067291,0,0.00901,0.00901,0.00901,0.8901159375000001,0.8876598430740806
32,0.041064,0.010177,0,0.89036,0.88557,0.93041,0.53257,0.037065,0.006718,0,0.008977,0.008977,0.008977,0.8913369696969697,0.8879585402577804
33,0.041139,0.010268,0,0.89184,0.8863,0.93078,0.53372,0.037,0.0067078,0,0.008944,0.008944,0.008944,0.8924970588235294,0.8890613697459142
34,0.040855,0.010175,0,0.89179,0.8886,0.93151,0.53488,0.036898,0.0066998,0,0.008911,0.008911,0.008911,0.8936117142857143,0.8901921421710972
35,0.040779,0.010175,0,0.89158,0.88987,0.93167,0.53466,0.036879,0.0066956,0,0.008878,0.008878,0.008878,0.894668888888889,0.8907241792921498
36,0.040581,0.010197,0,0.8927,0.8886,0.93178,0.53535,0.036791,0.0066884,0,0.008845,0.008845,0.008845,0.8956718918918919,0.8906452815359569
37,0.040576,0.010225,0,0.8934,0.88945,0.93222,0.53593,0.036712,0.0066778,0,0.008812,0.008812,0.008812,0.8966336842105264,0.8914206242813473
38,0.040358,0.010177,0,0.89209,0.8914,0.93241,0.53613,0.036643,0.0066713,0,0.008779,0.008779,0.008779,0.8975510256410255,0.8917448665257445
39,0.040385,0.010116,0,0.89263,0.89143,0.9327,0.53656,0.03659,0.0066652,0,0.008746,0.008746,0.008746,0.89842975,0.8920295964261292
40,0.040341,0.010111,0,0.89331,0.89127,0.93288,0.53727,0.036508,0.0066569,0,0.008713,0.008713,0.008713,0.89927,0.892288834011364
41,0.040017,0.010153,0,0.89354,0.89129,0.93307,0.538,0.036454,0.0066511,0,0.00868,0.00868,0.00868,0.9000747619047619,0.8924135817977064
42,0.040087,0.010043,0,0.89419,0.8908,0.93329,0.53912,0.03636,0.0066445,0,0.008647,0.008647,0.008647,0.9008472093023255,0.8924917809063356
43,0.039978,0.010029,0,0.89406,0.89177,0.93367,0.53978,0.036324,0.0066386,0,0.008614,0.008614,0.008614,0.9015931818181818,0.8929135317471428
44,0.040003,0.010107,0,0.89459,0.8912,0.93368,0.53993,0.036324,0.0066352,0,0.008581,0.008581,0.008581,0.9023062222222222,0.8928917823484285
45,0.039838,0.010024,0,0.8948,0.89134,0.93398,0.54106,0.03624,0.0066294,0,0.008548,0.008548,0.008548,0.9029947826086956,0.8930666487509378
46,0.03979,0.0099162,0,0.89516,0.8914,0.93434,0.54179,0.036173,0.0066188,0,0.008515,0.008515,0.008515,0.9036617021276595,0.8932760433458713
47,0.039691,0.010036,0,0.89647,0.89075,0.9345,0.54237,0.036129,0.0066123,0,0.008482,0.008482,0.008482,0.9043041666666666,0.8936008465661753
48,0.039596,0.010095,0,0.8977,0.89023,0.93491,0.54289,0.036074,0.0066042,0,0.008449,0.008449,0.008449,0.9049287755102041,0.8939493951105469
49,0.039684,0.010036,0,0.8978,0.89114,0.93528,0.54415,0.035991,0.0065963,0,0.008416,0.008416,0.008416,0.9055358,0.8944576028262546
50,0.039463,0.010069,0,0.89735,0.89251,0.93557,0.54496,0.035946,0.0065877,0,0.008383,0.008383,0.008383,0.9061247058823528,0.8949234560244935
51,0.039599,0.0099072,0,0.89542,0.89414,0.93575,0.54545,0.035919,0.006582,0,0.00835,0.00835,0.00835,0.9066944230769232,0.8947795422338453
52,0.039319,0.0099789,0,0.89541,0.89406,0.93573,0.54579,0.035903,0.0065786,0,0.008317,0.008317,0.008317,0.9072422641509434,0.8947344907710103
53,0.039295,0.010001,0,0.89525,0.8955,0.93641,0.54672,0.035816,0.0065701,0,0.008284,0.008284,0.008284,0.9077824074074073,0.8953749825492111
54,0.03925,0.010002,0,0.8955,0.89434,0.93659,0.54683,0.035804,0.0065642,0,0.008251,0.008251,0.008251,0.9083061818181818,0.8949196241004783
55,0.039116,0.0098983,0,0.89582,0.89345,0.93636,0.5469,0.035782,0.0065596,0,0.008218,0.008218,0.008218,0.9088071428571428,0.8946334303934007
56,0.038997,0.0099621,0,0.89711,0.89293,0.93634,0.54758,0.035752,0.0065522,0,0.008185,0.008185,0.008185,0.9092901754385965,0.8950151195504011
57,0.039054,0.0098696,0,0.89669,0.89342,0.93665,0.548,0.035725,0.0065429,0,0.008152,0.008152,0.008152,0.9097618965517241,0.8950520133399623
