epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2,cumulative_avg_mAP_0.5,metrics/F1_score
0,0.18346,0.022499,0,0.0003592,0.045788,0.00020863,4.65E-05,0.15673,0.018288,0,0.0811,0.0021,0.0021,0.00020863,0.000712808
1,0.14422,0.021695,0,0.00030172,0.038462,0.0001607,4.36E-05,0.15434,0.015674,0,0.061286,0.0042858,0.0042858,0.000184665,0.000598743
2,0.12163,0.024391,0,0.00043103,0.054945,0.00048373,0.00010638,0.15046,0.01494,0,0.041457,0.0064571,0.0064571,0.000284353,0.00085535
3,0.10696,0.025378,0,0.00061782,0.078755,0.00076455,0.00013984,0.14302,0.016218,0,0.021614,0.0086139,0.0086139,0.000404403,0.001226022
4,0.095359,0.025318,0,0.0020833,0.26557,0.040648,0.0096641,0.12399,0.019555,0,0.009868,0.009868,0.009868,0.008453122,0.004134169
5,0.086992,0.024188,0,0.36056,0.16484,0.16175,0.043575,0.11135,0.019449,0,0.009868,0.009868,0.009868,0.034002602,0.226245567
6,0.078431,0.022237,0,0.28707,0.35348,0.25132,0.083347,0.088292,0.022209,0,0.009835,0.009835,0.009835,0.065047944,0.316832421
7,0.072628,0.021065,0,0.51345,0.50733,0.4913,0.15324,0.077017,0.017691,0,0.009802,0.009802,0.009802,0.118329451,0.510371654
8,0.068515,0.019543,0,0.64865,0.59524,0.62953,0.23992,0.072951,0.016264,0,0.009769,0.009769,0.009769,0.175129512,0.620798344
9,0.0654,0.020557,0,0.62895,0.61722,0.60517,0.18472,0.071158,0.016532,0,0.009736,0.009736,0.009736,0.218133561,0.623029794
10,0.06542,0.019254,0,0.59674,0.67766,0.65222,0.24345,0.069791,0.01582,0,0.009703,0.009703,0.009703,0.257595965,0.63463093
11,0.059914,0.018592,0,0.76922,0.70202,0.75952,0.32333,0.060583,0.015391,0,0.00967,0.00967,0.00967,0.299422968,0.734085295
12,0.059308,0.018918,0,0.6725,0.66667,0.6877,0.26256,0.064202,0.016021,0,0.009637,0.009637,0.009637,0.329290432,0.66957231
13,0.058016,0.017424,0,0.78516,0.70951,0.76178,0.28664,0.059209,0.014715,0,0.009604,0.009604,0.009604,0.360182544,0.745420557
14,0.056871,0.018258,0,0.79279,0.74908,0.80481,0.39597,0.053675,0.014828,0,0.009571,0.009571,0.009571,0.389824374,0.770315439
15,0.055144,0.018084,0,0.80718,0.74368,0.80264,0.35984,0.055661,0.014547,0,0.009538,0.009538,0.009538,0.415625351,0.774129995
16,0.054577,0.01746,0,0.87583,0.75092,0.82761,0.33784,0.058226,0.01411,0,0.009505,0.009505,0.009505,0.439859742,0.808579393
17,0.056471,0.017067,0,0.88354,0.76422,0.83888,0.44372,0.050015,0.014103,0,0.009472,0.009472,0.009472,0.462027534,0.819559813
18,0.052194,0.017165,0,0.91512,0.75458,0.82992,0.41369,0.054109,0.013426,0,0.009439,0.009439,0.009439,0.481390295,0.827132119
19,0.052708,0.016769,0,0.8521,0.71755,0.7926,0.34302,0.069567,0.012703,0,0.009406,0.009406,0.009406,0.496950781,0.779058204
20,0.052859,0.017231,0,0.90353,0.75477,0.8429,0.43316,0.051966,0.013369,0,0.009373,0.009373,0.009373,0.513424553,0.822477643
21,0.051134,0.017124,0,0.91692,0.72772,0.84307,0.43076,0.053706,0.013335,0,0.00934,0.00934,0.00934,0.528408437,0.811437181
22,0.049775,0.016452,0,0.85934,0.74542,0.83054,0.39755,0.055949,0.013471,0,0.009307,0.009307,0.009307,0.541544592,0.798336477
23,0.050577,0.016936,0,0.92384,0.7967,0.88799,0.4891,0.046001,0.01343,0,0.009274,0.009274,0.009274,0.555979817,0.855572469
24,0.049065,0.01709,0,0.91628,0.77473,0.86951,0.45996,0.047331,0.013126,0,0.009241,0.009241,0.009241,0.568521024,0.839580611
25,0.048789,0.017288,0,0.82304,0.73259,0.78226,0.30295,0.06701,0.013898,0,0.009208,0.009208,0.009208,0.576741754,0.775185454
26,0.047562,0.016327,0,0.92249,0.78938,0.89354,0.4574,0.047722,0.01282,0,0.009175,0.009175,0.009175,0.588475023,0.850759878
27,0.049119,0.015959,0,0.90261,0.81474,0.90417,0.44382,0.046342,0.013088,0,0.009142,0.009142,0.009142,0.599749843,0.85642702
28,0.047191,0.015627,0,0.91578,0.83644,0.91072,0.50599,0.042612,0.012941,0,0.009109,0.009109,0.009109,0.610472952,0.874313754
29,0.047533,0.016634,0,0.91305,0.82698,0.90521,0.47085,0.046464,0.012731,0,0.009076,0.009076,0.009076,0.62029752,0.867886288
30,0.045786,0.016237,0,0.91553,0.80952,0.89498,0.44791,0.048272,0.012418,0,0.009043,0.009043,0.009043,0.629158245,0.859267668
31,0.046448,0.015794,0,0.9214,0.78938,0.89934,0.51163,0.043781,0.012465,0,0.00901,0.00901,0.00901,0.637601425,0.850296043
32,0.044997,0.016507,0,0.92165,0.83516,0.91167,0.50934,0.040373,0.012524,0,0.008977,0.008977,0.008977,0.645906534,0.876275993
33,0.044534,0.015694,0,0.90675,0.81136,0.90217,0.50726,0.042098,0.012818,0,0.008944,0.008944,0.008944,0.653443694,0.856406959
34,0.044427,0.01535,0,0.87547,0.7619,0.81423,0.37867,0.052259,0.013357,0,0.008911,0.008911,0.008911,0.658037589,0.814746322
35,0.045196,0.016334,0,0.90209,0.84375,0.91934,0.49696,0.04172,0.012536,0,0.008878,0.008878,0.008878,0.665295989,0.871945238
36,0.045347,0.015503,0,0.90246,0.83033,0.89561,0.50123,0.045257,0.012352,0,0.008845,0.008845,0.008845,0.671520692,0.86489374
37,0.043863,0.015934,0,0.94285,0.84607,0.91923,0.53852,0.040767,0.012545,0,0.008812,0.008812,0.008812,0.678039358,0.891842116
38,0.042388,0.015231,0,0.91632,0.86235,0.91692,0.53225,0.042099,0.01194,0,0.008779,0.008779,0.008779,0.684164503,0.888516197
39,0.043854,0.015761,0,0.91444,0.82234,0.90845,0.3949,0.052646,0.012344,0,0.008746,0.008746,0.008746,0.68977164,0.865948007
40,0.043684,0.015293,0,0.93888,0.78779,0.90352,0.45856,0.044958,0.012422,0,0.008713,0.008713,0.008713,0.694985015,0.856724534
41,0.041222,0.015808,0,0.92035,0.84799,0.91778,0.5365,0.042333,0.012881,0,0.00868,0.00868,0.00868,0.700289657,0.882689524
42,0.044592,0.01554,0,0.91868,0.80952,0.91865,0.50669,0.042722,0.012034,0,0.008647,0.008647,0.008647,0.705367805,0.86065251
43,0.042531,0.015946,0,0.91244,0.82065,0.90319,0.4752,0.045493,0.01227,0,0.008614,0.008614,0.008614,0.709863764,0.864114254
44,0.041518,0.015026,0,0.93104,0.86447,0.93273,0.54811,0.038095,0.011847,0,0.008581,0.008581,0.008581,0.714816347,0.896520931
45,0.040261,0.014121,0,0.94277,0.81136,0.9039,0.5095,0.042067,0.012026,0,0.008548,0.008548,0.008548,0.718926861,0.872142734
46,0.043031,0.014824,0,0.90517,0.85659,0.92972,0.55482,0.037321,0.011947,0,0.008515,0.008515,0.008515,0.723411821,0.880210211
47,0.042166,0.016032,0,0.92642,0.83013,0.91006,0.47009,0.04508,0.011928,0,0.008482,0.008482,0.008482,0.727300325,0.875635803
48,0.039541,0.015682,0,0.92937,0.86996,0.93659,0.56067,0.037456,0.011668,0,0.008449,0.008449,0.008449,0.731571543,0.898684205
49,0.03942,0.015084,0,0.92243,0.82758,0.92126,0.48168,0.041485,0.01202,0,0.008416,0.008416,0.008416,0.735365312,0.87243458
